row_label_raw,row_label_full,col_0,2020Nghìn VND,numeric__2020Nghìn VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,
Tăng do hợp nhất kinh doanh,Số dư đầu năm > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,213.921.246,213921246.0
Phần lỗ trong công ty liên kết,Số dư đầu năm > Phần lỗ trong công ty liên kết,Phần lỗ trong công ty liên kết,(29.488.203),-29488203.0
Chênh lệch do quy đổi tiền tệ,Số dư đầu năm > Chênh lệch do quy đổi tiền tệ,Chênh lệch do quy đổi tiền tệ,10.794.825,10794825.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,195.227.868,195227868.0
