row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Nghìn VND,Máy móc và thiết bị Nghìn VND,Dụng cụ văn phòng Nghìn VND,Phương tiện vận chuyển Nghìn VND,Tài sản khai thác khoáng sản khác Nghìn VND,Tổng cộng Nghìn VND,numeric__Nhà cửa và vật kiến trúc Nghìn VND,numeric__Máy móc và thiết bị Nghìn VND,numeric__Dụng cụ văn phòng Nghìn VND,numeric__Phương tiện vận chuyển Nghìn VND,numeric__Tài sản khai thác khoáng sản khác Nghìn VND,numeric__Tổng cộng Nghìn VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.930.775.651,11.821.423.653,42.227.092,16.186.948,5.095.926.136,21.906.539.480,4930775651.0,11821423653.0,42227092.0,16186948.0,5095926136.0,21906539480.0
Tăng do hợp nhất kinh doanh,Nguyên giá > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,2.636.129.079,4.840.579.656,-,-,-,7.476.708.735,2636129079.0,4840579656.0,,,,7476708735.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,380,31.603.119,-,-,-,31.603.499,380.0,31603119.0,,,,31603499.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 14),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 14),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 14),200.001.653,647.211.246,706.082,1.104.000,-,849.022.981,200001653.0,647211246.0,706082.0,1104000.0,,849022981.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(19.720.858),(115.095.369),-,(807.551),-,(135.623.778),-19720858.0,-115095369.0,,-807551.0,,-135623778.0
Chênh lệch do chuyển đổi tiền tệ,Nguyên giá > Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,127.761.931,222.370.577,-,-,-,350.132.508,127761931.0,222370577.0,,,,350132508.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,7.874.947.836,17.448.092.882,42.933.174,16.483.397,5.095.926.136,30.478.383.425,7874947836.0,17448092882.0,42933174.0,16483397.0,5095926136.0,30478383425.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.073.164.994,3.552.372.866,38.295.409,11.603.407,1.127.330.359,5.802.767.035,1073164994.0,3552372866.0,38295409.0,11603407.0,1127330359.0,5802767035.0
Tăng do hợp nhất kinh doanh,Giá trị hao mòn lũy kế > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,586.645.146,2.819.693.719,-,-,-,3.406.338.865,586645146.0,2819693719.0,,,,3406338865.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,346.595.078,846.030.300,1.574.793,2.170.330,212.669.058,1.409.039.559,346595078.0,846030300.0,1574793.0,2170330.0,212669058.0,1409039559.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(7.226.526),(114.095.248),-,(807.551),-,(122.129.325),-7226526.0,-114095248.0,,-807551.0,,-122129325.0
Chênh lệch do chuyển đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,26.263.136,129.271.087,-,-,-,155.534.223,26263136.0,129271087.0,,,,155534223.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.025.441.828,7.233.272.724,39.870.202,12.966.186,1.339.999.417,10.651.550.357,2025441828.0,7233272724.0,39870202.0,12966186.0,1339999417.0,10651550357.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.857.610.657,8.269.050.787,3.931.683,4.583.541,3.968.595.777,16.103.772.445,3857610657.0,8269050787.0,3931683.0,4583541.0,3968595777.0,16103772445.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,5.849.506.008,10.214.820.158,3.062.972,3.517.211,3.755.926.719,19.826.833.068,5849506008.0,10214820158.0,3062972.0,3517211.0,3755926719.0,19826833068.0
