row_label_raw,row_label_full,Từ ngày 1/1/2020 đến ngày 31/12/2020,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,numeric__ĐồngNghìn VND,numeric__FluoritNghìn VND,numeric__VonframNghìn VND,numeric__Các bộ phậnkhácNghìn VND,numeric__Tổng cộngNghìn VND
Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,-,-,95.552.600,83.095.789,178.648.389,,,95552600.0,83095789.0,178648389.0
Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,1.295.588.865,,,,,1295588865.0
Khấu hao tài sản cố định,Khấu hao tài sản cố định,Khấu hao tài sản cố định,13.783.364,68.957.589,468.824.448,87.699.306,639.264.707,13783364.0,68957589.0,468824448.0,87699306.0,639264707.0
Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,,,,,917.974.537,,,,,917974537.0
Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,,,,,231.291.861,,,,,231291861.0
Từ ngày 1/1/2019 đến ngày 31/12/2019,Từ ngày 1/1/2019 đến ngày 31/12/2019,Từ ngày 1/1/2019 đến ngày 31/12/2019,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,,,,,
Chi tiêu vốn của bộ phận,Từ ngày 1/1/2019 đến ngày 31/12/2019 > Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,467.834,85.520,155.979.770,35.436.976,191.970.100,467834.0,85520.0,155979770.0,35436976.0,191970100.0
Chi tiêu vốn không phân bổ,Từ ngày 1/1/2019 đến ngày 31/12/2019 > Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,696.253.537,,,,,696253537.0
Khấu hao tài sản cố định,Từ ngày 1/1/2019 đến ngày 31/12/2019 > Khấu hao tài sản cố định,Khấu hao tài sản cố định,14.048.610,71.389.313,114.556.457,92.700.766,292.695.146,14048610.0,71389313.0,114556457.0,92700766.0,292695146.0
Khấu hao tài sản cố định không phân bổ,Từ ngày 1/1/2019 đến ngày 31/12/2019 > Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,,,,,913.688.415,,,,,913688415.0
Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Từ ngày 1/1/2019 đến ngày 31/12/2019 > Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,,,,,190.694.275,,,,,190694275.0
