row_label_raw,row_label_full,col_0,ĐấtNghìn VND,Phần mềmmáy vi tínhNghìn VND,Quyền khai thác khoáng sảnNghìn VND,Chi phí triển khaiNghìn VND,Tên thương hiệuNghìn VND,Quan hệ với khách hàngNghìn VND,Công nghệNghìn VND,Tài sản cố định vô hình khácNghìn VND,Tổng cộngNghìn VND,numeric__ĐấtNghìn VND,numeric__Phần mềmmáy vi tínhNghìn VND,numeric__Quyền khai thác khoáng sảnNghìn VND,numeric__Chi phí triển khaiNghìn VND,numeric__Tên thương hiệuNghìn VND,numeric__Quan hệ với khách hàngNghìn VND,numeric__Công nghệNghìn VND,numeric__Tài sản cố định vô hình khácNghìn VND,numeric__Tổng cộngNghìn VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,-,108.309.899,588.370.818,-,-,-,-,-,696.680.717,,108309899.0,588370818.0,,,,,,696680717.0
Tăng do hợp nhất kinh doanh,Nguyên giá > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,68.425.536,286.893.361,-,649.265.674,1.062.970.311,218.306.487,1.466.260.807,25.257.122,3.777.379.298,68425536.0,286893361.0,,649265674.0,1062970311.0,218306487.0,1466260807.0,25257122.0,3777379298.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,10.836.616,-,-,-,-,-,-,10.836.616,,10836616.0,,,,,,,10836616.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 14),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 14),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 14),-,3.693.341,-,1.404.438,-,-,-,-,5.097.779,,3693341.0,,1404438.0,,,,,5097779.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(746.069),-,-,-,-,-,-,(746.069),,-746069.0,,,,,,,-746069.0
Chênh lệch do chuyển đổi tiền tệ,Nguyên giá > Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,3.548.013,15.830.568,-,35.162.425,57.508.550,11.810.762,79.327.269,1.228.238,204.415.825,3548013.0,15830568.0,,35162425.0,57508550.0,11810762.0,79327269.0,1228238.0,204415825.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,71.973.549,424.817.716,588.370.818,685.832.537,1.120.478.861,230.117.249,1.545.588.076,26.485.360,4.693.664.166,71973549.0,424817716.0,588370818.0,685832537.0,1120478861.0,230117249.0,1545588076.0,26485360.0,4693664166.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,73.423.648,158.120.358,-,-,-,-,-,231.544.006,,73423648.0,158120358.0,,,,,,231544006.0
Tăng do hợp nhất kinh doanh,Giá trị hao mòn lũy kế > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,280.310.256,-,53.616.472,-,-,-,2.029.078,335.955.806,,280310256.0,,53616472.0,,,,2029078.0,335955806.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,-,15.692.012,30.550.328,32.445.109,21.758.309,3.696.804,42.975.821,1.081.302,148.199.685,,15692012.0,30550328.0,32445109.0,21758309.0,3696804.0,42975821.0,1081302.0,148199685.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(746.069),-,-,-,-,-,-,(746.069),,-746069.0,,,,,,,-746069.0
Chênh lệch do chuyển đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,-,15.185.479,-,3.732.808,557.987,94.804,1.102.105,118.156,20.791.339,,15185479.0,,3732808.0,557987.0,94804.0,1102105.0,118156.0,20791339.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,383.865.326,188.670.686,89.794.389,22.316.296,3.791.608,44.077.926,3.228.536,735.744.767,,383865326.0,188670686.0,89794389.0,22316296.0,3791608.0,44077926.0,3228536.0,735744767.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,-,34.886.251,430.250.460,-,-,-,-,-,465.136.711,,34886251.0,430250460.0,,,,,,465136711.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,71.973.549,40.952.390,399.700.132,596.038.148,1.098.162.565,226.325.641,1.501.510.150,23.256.824,3.957.919.399,71973549.0,40952390.0,399700132.0,596038148.0,1098162565.0,226325641.0,1501510150.0,23256824.0,3957919399.0
