row_label_raw,row_label_full,col_0,Vốn cổ phần Nghìn VND,Thặng dư vốn cổ phần Nghìn VND,Vốn khác của chủ sở hữu Nghìn VND,Chênh lệch tỷ giá hối đoái Nghìn VND,Quỹ khác thuộc vốn chủ sở hữu Nghìn VND,Lợi nhuận chưa phân phối Nghìn VND,Vốn chủ sở hữu thuộc về các chủ sở hữu của Công ty Nghìn VND,Lợi ích cổ đông không kiểm soát Nghìn VND,Tổng cộng Nghìn VND,numeric__Vốn cổ phần Nghìn VND,numeric__Thặng dư vốn cổ phần Nghìn VND,numeric__Vốn khác của chủ sở hữu Nghìn VND,numeric__Chênh lệch tỷ giá hối đoái Nghìn VND,numeric__Quỹ khác thuộc vốn chủ sở hữu Nghìn VND,numeric__Lợi nhuận chưa phân phối Nghìn VND,numeric__Vốn chủ sở hữu thuộc về các chủ sở hữu của Công ty Nghìn VND,numeric__Lợi ích cổ đông không kiểm soát Nghìn VND,numeric__Tổng cộng Nghìn VND
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,8.993.091.220,145.709.384,(295.683.347),-,-,3.282.836.988,12.125.954.245,-,12.125.954.245,8993091220.0,145709384.0,-295683347.0,,,3282836988.0,12125954245.0,,12125954245.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,352.393.815,352.393.815,-,352.393.815,,,,,,352393815.0,352393815.0,,352393815.0
Phát hành cổ phiếu thưởng,Phát hành cổ phiếu thưởng,Phát hành cổ phiếu thưởng,899.307.560,-,-,-,-,(899.307.560),-,-,-,899307560.0,,,,,-899307560.0,,,
Mua lại quyền sở hữu cổ đông không kiểm soát,Mua lại quyền sở hữu cổ đông không kiểm soát,Mua lại quyền sở hữu cổ đông không kiểm soát,-,-,-,-,-,(8.525.794),(8.525.794),-,(8.525.794),,,,,,-8525794.0,-8525794.0,,-8525794.0
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,9.892.398.780,145.709.384,(295.683.347),-,-,2.727.397.449,12.469.822.266,-,12.469.822.266,9892398780.0,145709384.0,-295683347.0,,,2727397449.0,12469822266.0,,12469822266.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,39.195.963,39.195.963,12.594.995,51.790.958,,,,,,39195963.0,39195963.0,12594995.0,51790958.0
Tăng do hợp nhất kính doanh (Thuyết minh 5),Tăng do hợp nhất kính doanh (Thuyết minh 5),Tăng do hợp nhất kính doanh (Thuyết minh 5),-,-,-,-,-,-,-,49.291.905,49.291.905,,,,,,,,49291905.0,49291905.0
Phát hành cổ phiếu mới,Phát hành cổ phiếu mới,Phát hành cổ phiếu mới,1.099.155.420,995.175.317,-,-,-,-,2.094.330.737,-,2.094.330.737,1099155420.0,995175317.0,,,,,2094330737.0,,2094330737.0
Phí giao dịch phát hành cổ phiếu mới,Phí giao dịch phát hành cổ phiếu mới,Phí giao dịch phát hành cổ phiếu mới,-,(42.624.809),-,-,-,-,(42.624.809),-,(42.624.809),,-42624809.0,,,,,-42624809.0,,-42624809.0
Tái xác định dự phòng trợ cấp hữu trí,Tái xác định dự phòng trợ cấp hữu trí,Tái xác định dự phòng trợ cấp hữu trí,-,-,-,-,(358.967.342),-,(358.967.342),-,(358.967.342),,,,,-358967342.0,,-358967342.0,,-358967342.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,(189.058.584),-,-,(189.058.584),4.955.904,(184.102.680),,,,-189058584.0,,,-189058584.0,4955904.0,-184102680.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,10.991.554.200,1.098.259.892,(295.683.347),(189.058.584),(358.967.342),2.766.593.412,14.012.698.231,66.842.804,14.079.541.035,10991554200.0,1098259892.0,-295683347.0,-189058584.0,-358967342.0,2766593412.0,14012698231.0,66842804.0,14079541035.0
