row_label_raw,row_label_full,col_0,Thuế suất,31/12/2020Nghìn VND,1/1/2020Nghìn VND,numeric__Thuế suất,numeric__31/12/2020Nghìn VND,numeric__1/1/2020Nghìn VND
Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,,,
Tái xác định dự phòng trợ cấp hưu trí phải trả thuần,Tài sản thuế thu nhập hoãn lại: > Tái xác định dự phòng trợ cấp hưu trí phải trả thuần,Tái xác định dự phòng trợ cấp hưu trí phải trả thuần,30%,1.281.357.440,-,0.3,1281357440.0,
Điều chỉnh giá trị hợp lý của tài sản khác từ hợp nhất kinh doanh (*),Tài sản thuế thu nhập hoãn lại: > Điều chỉnh giá trị hợp lý của tài sản khác từ hợp nhất kinh doanh (*),Điều chỉnh giá trị hợp lý của tài sản khác từ hợp nhất kinh doanh (*),15% - 30%,(520.258.159),,,-520258159.0,
Giá trị thuế của các khoản lỗ mang sang,Tài sản thuế thu nhập hoãn lại: > Giá trị thuế của các khoản lỗ mang sang,Giá trị thuế của các khoản lỗ mang sang,30%,187.383.399,-,0.3,187383399.0,
Chi phí phải trả và các khoản dự phòng (*),Tài sản thuế thu nhập hoãn lại: > Chi phí phải trả và các khoản dự phòng (*),Chi phí phải trả và các khoản dự phòng (*),30%,(275.044.687),-,0.3,-275044687.0,
Quan hệ có từ trước – Lợi ích của hợp đồng với NPM,Tài sản thuế thu nhập hoãn lại: > Quan hệ có từ trước – Lợi ích của hợp đồng với NPM,Quan hệ có từ trước – Lợi ích của hợp đồng với NPM,30%,20.045.683,-,0.3,20045683.0,
Tổng tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại: > Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,,693.483.676,-,,693483676.0,
Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,,,
Trữ lượng khai thác và trữ lượng địa chất,Thuế thu nhập hoãn lại phải trả: > Trữ lượng khai thác và trữ lượng địa chất,Trữ lượng khai thác và trữ lượng địa chất,15%,552.077.034,583.078.428,0.15,552077034.0,583078428.0
Lỗ chưa thực hiện từ các giao dịch nội bộ,Thuế thu nhập hoãn lại phải trả: > Lỗ chưa thực hiện từ các giao dịch nội bộ,Lỗ chưa thực hiện từ các giao dịch nội bộ,10% - 15%,45.054.074,3.900.260,,45054074.0,3900260.0
Tài sản vô hình mới được xác định từ hợp nhất kinh doanh,Thuế thu nhập hoãn lại phải trả: > Tài sản vô hình mới được xác định từ hợp nhất kinh doanh,Tài sản vô hình mới được xác định từ hợp nhất kinh doanh,25% - 30%,1.010.890.563,-,,1010890563.0,
Điều chỉnh giá trị hợp lý của tài sản khác từ hợp nhất kinh doanh,Thuế thu nhập hoãn lại phải trả: > Điều chỉnh giá trị hợp lý của tài sản khác từ hợp nhất kinh doanh,Điều chỉnh giá trị hợp lý của tài sản khác từ hợp nhất kinh doanh,15% - 30%,162.647.075,-,,162647075.0,
Chi phí phải trả và các khoản dự phòng,Thuế thu nhập hoãn lại phải trả: > Chi phí phải trả và các khoản dự phòng,Chi phí phải trả và các khoản dự phòng,30%,16.752.855,-,0.3,16752855.0,
Các khoản khác,Thuế thu nhập hoãn lại phải trả: > Các khoản khác,Các khoản khác,30%,55.411.934,-,0.3,55411934.0,
Tổng thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả: > Tổng thuế thu nhập hoãn lại phải trả,Tổng thuế thu nhập hoãn lại phải trả,,1.842.833.535,586.978.688,,1842833535.0,586978688.0
