row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2017 VND,2016 VND,numeric__col_1,numeric__Thuyết minh,numeric__2017 VND,numeric__2016 VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,24,5.612.708.027.276,4.040.605.954.179,,24.0,5612708027276.0,4040605954179.0
2,2,2,Chi phí lãi và các chi phí tương tự,24,(3.211.602.646.169),(2.379.925.934.113),,24.0,-3211602646169.0,-2379925934113.0
I,I,I,Thu nhập lãi thuần,24,2.401.105.381.107,1.660.680.020.066,,24.0,2401105381107.0,1660680020066.0
3,3,3,Thu nhập từ hoạt động dịch vụ,25,232.889.679.422,132.311.076.183,,25.0,232889679422.0,132311076183.0
4,4,4,Chi phí hoạt động dịch vụ,25,(43.951.199.578),(34.799.945.437),,25.0,-43951199578.0,-34799945437.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,25,188.938.479.844,97.511.130.746,,25.0,188938479844.0,97511130746.0
III,III,III,Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối,26,46.999.721.794,(3.005.136.267),,26.0,46999721794.0,-3005136267.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,27,14.777.345.406,-,,27.0,14777345406.0,
V,V,V,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,28,48.694.519.051,(261.534.284),,28.0,48694519051.0,-261534284.0
5,5,5,Thu nhập từ hoạt động khác,29,116.305.711.600,167.943.215.177,,29.0,116305711600.0,167943215177.0
6,6,6,Chi phí hoạt động khác,29,(99.836.800.899),(90.629.537.916),,29.0,-99836800899.0,-90629537916.0
VI,VI,VI,Lãi thuần từ hoạt động khác,29,16.468.910.701,77.313.677.261,,29.0,16468910701.0,77313677261.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",30,39.000.000,27.446.209.900,,30.0,39000000.0,27446209900.0
VIII,VIII,VIII,Chi phí hoạt động,31,(1.442.507.877.676),(1.046.526.378.638),,31.0,-1442507877676.0,-1046526378638.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,1.274.515.480.227,813.157.988.784,,,1274515480227.0,813157988784.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,32,(256.023.763.150),(329.285.922.452),,32.0,-256023763150.0,-329285922452.0
XI,XI,XI,Tổng lợi nhuận trước thuế (mang sang trang sau),,1.018.491.717.077,483.872.066.332,,,1018491717077.0,483872066332.0
