row_label_raw,row_label_full,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động_1,Những thay đổi về tài sản hoạt động_2,Những thay đổi về tài sản hoạt động_3,numeric__Những thay đổi về tài sản hoạt động_1,numeric__Những thay đổi về tài sản hoạt động_2,numeric__Những thay đổi về tài sản hoạt động_3
09,09,09,Giảm/(tăng) các khoản tiền gửi và cho vay các tổ chức tín dụng khác,1.325.640.500.000,(2.050.810.000.000),,1325640500000.0,-2050810000000.0
10,10,10,Tăng các khoản về kinh doanh chứng khoán,(5.195.880.854.403),(3.002.431.365.505),,-5195880854403.0,-3002431365505.0
11,11,11,Tăng các công cụ tài chính phải sinh và các tài sản tài chính khác,(34.459.675.710),-,,-34459675710.0,
12,12,12,Tăng các khoản cho vay khách hàng,(9.676.253.556.570),(11.200.762.569.032),,-9676253556570.0,-11200762569032.0
13,13,13,Giảm nguồn dự phòng để bù đắp tồn thất các khoản,(106.054.370.174),156.363.213.479,,-106054370174.0,156363213479.0
14,14,14,Giảm/(tăng) khác về tài sản hoạt động,364.528.341.535,(107.652.009.436),,364528341535.0,-107652009436.0
Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,,,
15,Những thay đổi về công nợ hoạt động > 15,15,Giảm các khoản nợ Ngân hàng Nhà nước Việt Nam,(89.571.807.597),(315.461.063.582),,-89571807597.0,-315461063582.0
16,Những thay đổi về công nợ hoạt động > 16,16,Tăng/(giảm) tiền gửi và vay các tổ chức tín dụng khác,4.761.909.461.070,(1.716.958.276.816),,4761909461070.0,-1716958276816.0
17,Những thay đổi về công nợ hoạt động > 17,17,Tăng tiền gửi của khách hàng,10.201.810.054.393,13.557.690.347.607,,10201810054393.0,13557690347607.0
18,Những thay đổi về công nợ hoạt động > 18,18,Tăng phát hành giấy tờ có giá,3.364.850.770.787,996.838.495.146,,3364850770787.0,996838495146.0
19,Những thay đổi về công nợ hoạt động > 19,19,"Tăng vốn tài trợ, ủy thác đầu tư, cho vay mà tổ chức tín dụng khác chịu rủi ro",514.315.486.919,984.642.244.573,,514315486919.0,984642244573.0
20,Những thay đổi về công nợ hoạt động > 20,20,Giảm các công cụ tài chính phải sinh và các khoản nợ tài chính khác,(8.343.449.670),(44.022.970.330),,-8343449670.0,-44022970330.0
21,Những thay đổi về công nợ hoạt động > 21,21,Tăng khác về công nợ hoạt động,18.144.649.971,63.442.346.376,,18144649971.0,63442346376.0
22,Những thay đổi về công nợ hoạt động > 22,22,(Chi)/thu từ các quỹ,(1.106.500.000),55.562.442.521,,-1106500000.0,55562442521.0
