row_label_raw,row_label_full,col_0,31/12/2017 > Giá trị theo hợp đồng – gộp VND,31/12/2017 > Tiền gửi ký quỹ VND,31/12/2017 > Giá trị theo hợp đồng – thuần VND,31/12/2016 > Giá trị theo hợp đồng – gộp VND,31/12/2016 > Tiền gửi ký quỹ VND,31/12/2016 > Giá trị theo hợp đồng – thuần VND,numeric__31/12/2017 > Giá trị theo hợp đồng – gộp VND,numeric__31/12/2017 > Tiền gửi ký quỹ VND,numeric__31/12/2017 > Giá trị theo hợp đồng – thuần VND,numeric__31/12/2016 > Giá trị theo hợp đồng – gộp VND,numeric__31/12/2016 > Tiền gửi ký quỹ VND,numeric__31/12/2016 > Giá trị theo hợp đồng – thuần VND
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,98.415.283.000,317.473.333,98.097.809.667,103.834.189.145,17.413.333,103.816.775.812,98415283000.0,317473333.0,98097809667.0,103834189145.0,17413333.0,103816775812.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,36.650.739.459.250,-,36.650.739.459.250,7.250.311.996.985,-,7.250.311.996.985,36650739459250.0,,36650739459250.0,7250311996985.0,,7250311996985.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
▪ Cam kết mua ngoại tệ,Trong đó: > ▪ Cam kết mua ngoại tệ,▪ Cam kết mua ngoại tệ,451.352.600.000,-,451.352.600.000,146.881.790.000,-,146.881.790.000,451352600000.0,,451352600000.0,146881790000.0,,146881790000.0
▪ Cam kết bán ngoại tệ,Trong đó: > ▪ Cam kết bán ngoại tệ,▪ Cam kết bán ngoại tệ,451.352.600.000,-,451.352.600.000,144.519.143.185,-,144.519.143.185,451352600000.0,,451352600000.0,144519143185.0,,144519143185.0
▪ Cam kết giao dịch hoán đổi tiền tệ,Trong đó: > ▪ Cam kết giao dịch hoán đổi tiền tệ,▪ Cam kết giao dịch hoán đổi tiền tệ,35.748.034.259.250,-,35.748.034.259.250,6.958.911.063.800,-,6.958.911.063.800,35748034259250.0,,35748034259250.0,6958911063800.0,,6958911063800.0
Cam kết trong nghiệp vụ L/C,Trong đó: > Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,1.335.028.735.462,40.712.974.300,1.294.315.761.162,967.944.501.000,26.738.141.681,941.206.359.319,1335028735462.0,40712974300.0,1294315761162.0,967944501000.0,26738141681.0,941206359319.0
Bảo lãnh khác,Trong đó: > Bảo lãnh khác,Bảo lãnh khác,5.907.135.112.932,134.366.744.023,5.772.768.368.909,3.768.029.892.319,114.018.633.833,3.654.011.258.486,5907135112932.0,134366744023.0,5772768368909.0,3768029892319.0,114018633833.0,3654011258486.0
,,,43.991.318.590.644,175.397.191.656,43.815.921.398.988,12.090.120.579.449,140.774.188.847,11.949.346.390.602,43991318590644.0,175397191656.0,43815921398988.0,12090120579449.0,140774188847.0,11949346390602.0
