row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm2017,Quá hạnVND,Khôngchịu lãiVND,Dưới1 thángVND,Từ 1 đến3 thángVND,Từ trên 3 đến6 thángVND,Từ trên 6 đến12 thángVND,Từ trên 1 đến5 nămVND,Trên 5 nămVND,TổngVND,numeric__Quá hạnVND,numeric__Khôngchịu lãiVND,numeric__Dưới1 thángVND,numeric__Từ 1 đến3 thángVND,numeric__Từ trên 3 đến6 thángVND,numeric__Từ trên 6 đến12 thángVND,numeric__Từ trên 1 đến5 nămVND,numeric__Trên 5 nămVND,numeric__TổngVND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tài sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,648.853.204.976,-,-,-,-,-,-,648.853.204.976,,648853204976.0,,,,,,,648853204976.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,3.106.795.746.709,-,-,-,-,-,3.106.795.746.709,,,3106795746709.0,,,,,,3106795746709.0
Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,-,-,6.567.434.985.255,3.813.699.500.000,-,-,-,-,10.381.134.485.255,,,6567434985255.0,3813699500000.0,,,,,10381134485255.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,-,-,-,-,-,531.580.500.000,2.757.012.700.000,3.288.593.200.000,,,,,,,531580500000.0,2757012700000.0,3288593200000.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,-,34.459.675.710,-,-,-,-,-,-,34.459.675.710,,34459675710.0,,,,,,,34459675710.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),1.450.909.396.425,-,9.239.737.745.256,18.449.641.878.917,14.253.158.457.755,3.036.571.960.048,1.752.957.245.424,-,48.182.976.683.825,1450909396425.0,,9239737745256.0,18449641878917.0,14253158457755.0,3036571960048.0,1752957245424.0,,48182976683825.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,970.194.921.995,170.000.000.000,31.390.000.000,110.000.000.000,1.170.000.000.000,7.854.530.200.000,6.514.666.600.000,16.820.781.721.995,,970194921995.0,170000000000.0,31390000000.0,110000000000.0,1170000000000.0,7854530200000.0,6514666600000.0,16820781721995.0
"Gộp vốn, đầu tư dài hạn – gộp","Tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",-,61.430.000.000,-,-,-,-,-,-,61.430.000.000,,61430000000.0,,,,,,,61430000000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,527.005.924.816,-,-,-,-,-,-,527.005.924.816,,527005924816.0,,,,,,,527005924816.0
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,4.800.000.000,2.101.533.819.826,-,-,-,-,-,-,2.106.333.819.826,4800000000.0,2101533819826.0,,,,,,,2106333819826.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),1.455.709.396.425,4.343.477.547.323,19.083.968.477.220,22.294.731.378.917,14.363.158.457.755,4.206.571.960.048,10.139.067.945.424,9.271.679.300.000,85.158.364.463.112,1455709396425.0,4343477547323.0,19083968477220.0,22294731378917.0,14363158457755.0,4206571960048.0,10139067945424.0,9271679300000.0,85158364463112.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,6.190.499.448,18.255.045.975,79.590.958.264,231.173.373.916,-,-,335.209.877.603,,,6190499448.0,18255045975.0,79590958264.0,231173373916.0,,,335209877603.0
Tiền gửi và vay các tổ chứctín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chứctín dụng khác,Tiền gửi và vay các tổ chứctín dụng khác,-,-,12.965.794.488.241,3.150.968.000.000,-,-,185.353.675.000,1.514.064.160,16.303.630.227.401,,,12965794488241.0,3150968000000.0,,,185353675000.0,1514064160.0,16303630227401.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,24.197.411.853.470,9.178.873.189.909,9.799.643.408.451,7.175.307.553.343,2.913.772.157.533,786.949.500,53.265.795.112.206,,,24197411853470.0,9178873189909.0,9799643408451.0,7175307553343.0,2913772157533.0,786949500.0,53265795112206.0
"Vốn tài trợ, ủy thác đầu tư,cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư,cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư,cho vay TCTD chịu rủi ro",-,-,356.644.750.000,762.541.875.000,179.864.080.000,3.355.075.000,1.287.248.122.849,55.811.889.518,2.645.465.792.367,,,356644750000.0,762541875000.0,179864080000.0,3355075000.0,1287248122849.0,55811889518.0,2645465792367.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,400.000.000.000,1.014.510.246.362,2.947.179.019.571,-,4.361.689.265.933,,,,,400000000000.0,1014510246362.0,2947179019571.0,,4361689265933.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,1.304.371.459.310,-,-,-,-,-,-,1.304.371.459.310,,1304371459310.0,,,,,,,1304371459310.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,1.304.371.459.310,37.526.041.591.159,13.110.638.110.884,10.459.098.446.715,8.424.346.248.621,7.333.552.974.953,58.112.903.178,78.216.161.734.820,,1304371459310.0,37526041591159.0,13110638110884.0,10459098446715.0,8424346248621.0,7333552974953.0,58112903178.0,78216161734820.0
Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],1.455.709.396.425,3.039.106.088.013,(18.442.073.113.939),9.184.093.268.033,3.904.060.011.040,(4.217.774.288.573),2.805.514.970.471,9.213.566.396.822,6.942.202.728.292,1455709396425.0,3039106088013.0,-18442073113939.0,9184093268033.0,3904060011040.0,-4217774288573.0,2805514970471.0,9213566396822.0,6942202728292.0
Mức chênh nhạy cảm với lãi suất ngoại bảng (4),Mức chênh nhạy cảm với lãi suất ngoại bảng (4),Mức chênh nhạy cảm với lãi suất ngoại bảng (4),-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng[(5)=(3)+(4)]","Mức chênh nhạy cảm với lãi suất ngoại bảng (4) > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng[(5)=(3)+(4)]","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng[(5)=(3)+(4)]",1.455.709.396.425,3.039.106.088.013,(18.442.073.113.939),9.184.093.268.033,3.904.060.011.040,(4.217.774.288.573),2.805.514.970.471,9.213.566.396.822,6.942.202.728.292,1455709396425.0,3039106088013.0,-18442073113939.0,9184093268033.0,3904060011040.0,-4217774288573.0,2805514970471.0,9213566396822.0,6942202728292.0
