row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016,Quá hạn > Quá hạn trên3 thángVND,Quá hạn > Quá hạn đến3 thángVND,Quá hạn > Đến 1 thángVND,Trong hạn > Từ trên 1 đến3 thángVND,Trong hạn > Từ trên 3 đến12 thángVND,Trong hạn > Từ trên 1 đến5 nămVND,Trong hạn > Trên 5 nămVND,Trong hạn > TổngVND,numeric__Quá hạn > Quá hạn trên3 thángVND,numeric__Quá hạn > Quá hạn đến3 thángVND,numeric__Quá hạn > Đến 1 thángVND,numeric__Trong hạn > Từ trên 1 đến3 thángVND,numeric__Trong hạn > Từ trên 3 đến12 thángVND,numeric__Trong hạn > Từ trên 1 đến5 nămVND,numeric__Trong hạn > Trên 5 nămVND,numeric__Trong hạn > TổngVND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,463.412.241.843,-,-,-,-,463.412.241.843,,,463412241843.0,,,,,463412241843.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,1.199.607.187.123,-,-,-,-,1.199.607.187.123,,,1199607187123.0,,,,,1199607187123.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,2.702.211.108.721,3.760.000.000.000,-,-,-,6.462.211.108.721,,,2702211108721.0,3760000000000.0,,,,6462211108721.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),675.499.352.163,894.257.113.257,1.682.861.737.136,2.458.766.517.088,7.767.776.837.621,12.565.579.717.700,12.461.981.852.290,38.506.723.127.255,675499352163.0,894257113257.0,1682861737136.0,2458766517088.0,7767776837621.0,12565579717700.0,12461981852290.0,38506723127255.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,22.138.759.147,-,601.944.206.775,10.658.690.930.947,3.587.302.870.723,14.870.076.767.592,,,22138759147.0,,601944206775.0,10658690930947.0,3587302870723.0,14870076767592.0
"Gộp vốn, đầu tư dài hạn – gộp","Tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,79.847.300.000,79.847.300.000,,,,,,,79847300000.0,79847300000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,407.947.523.803,407.947.523.803,,,,,,,407947523803.0,407947523803.0
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,5.799.100.000,-,16.576.400.247,18.634.596.647,1.283.839.241.159,644.962.741.195,465.355.146.042,2.435.167.225.290,5799100000.0,,16576400247.0,18634596647.0,1283839241159.0,644962741195.0,465355146042.0,2435167225290.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),681.298.452.163,894.257.113.257,6.086.807.434.217,6.237.401.113.735,9.653.560.285.555,23.869.233.389.842,17.002.434.692.858,64.424.992.481.627,681298452163.0,894257113257.0,6086807434217.0,6237401113735.0,9653560285555.0,23869233389842.0,17002434692858.0,64424992481627.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,6.190.499.448,18.255.045.975,400.336.139.777,-,-,424.781.685.200,,,6190499448.0,18255045975.0,400336139777.0,,,424781685200.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,4.331.346.842.618,7.188.906.500.000,-,18.727.900.000,2.739.523.713,11.541.720.766.331,,,4331346842618.0,7188906500000.0,,18727900000.0,2739523713.0,11541720766331.0
