row_label_raw,row_label_full,2016,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận chuyểnVND,Tài sảncố định khácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Tài sảncố định khácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,188.486.864.860,130.797.620.469,94.170.659.197,1.425.127.387,414.880.271.913,188486864860.0,130797620469.0,94170659197.0,1425127387.0,414880271913.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,1.321.741.636,3.941.331.017,11.909.334.400,-,17.172.407.053,1321741636.0,3941331017.0,11909334400.0,,17172407053.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(6.475.897.922),(326.518.923),(1.512.052.569),-,(8.314.469.414),-6475897922.0,-326518923.0,-1512052569.0,,-8314469414.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,183.332.708.574,134.412.432.563,104.567.941.028,1.425.127.387,423.738.209.552,183332708574.0,134412432563.0,104567941028.0,1425127387.0,423738209552.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,53.609.100.444,76.505.031.958,68.122.605.664,1.143.867.307,199.380.605.373,53609100444.0,76505031958.0,68122605664.0,1143867307.0,199380605373.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,9.886.554.132,13.864.890.592,7.656.443.485,155.826.354,31.563.714.563,9886554132.0,13864890592.0,7656443485.0,155826354.0,31563714563.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(2.748.398.038),(290.861.825),(1.512.052.569),-,(4.551.312.432),-2748398038.0,-290861825.0,-1512052569.0,,-4551312432.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,60.747.256.538,90.079.060.725,74.266.996.580,1.299.693.661,226.393.007.504,60747256538.0,90079060725.0,74266996580.0,1299693661.0,226393007504.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,134.877.764.416,54.292.588.511,26.048.053.533,281.260.080,215.499.666.540,134877764416.0,54292588511.0,26048053533.0,281260080.0,215499666540.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,122.585.452.036,44.333.371.838,30.300.944.448,125.433.726,197.345.202.048,122585452036.0,44333371838.0,30300944448.0,125433726.0,197345202048.0
