row_label_raw,row_label_full,2017,Số dưđầu nămVND,Phát sinh trong năm > Số phải nộpVND,Phát sinh trong năm > Số đã nộpVND,Số ducuối nămVND,numeric__Số dưđầu nămVND,numeric__Phát sinh trong năm > Số phải nộpVND,numeric__Phát sinh trong năm > Số đã nộpVND,numeric__Số ducuối nămVND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,26.092.820.524,204.381.067.054,(184.648.811.590),45.825.075.988,26092820524.0,204381067054.0,-184648811590.0,45825075988.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.738.164.675,13.721.541.941,(12.762.433.286),2.697.273.330,1738164675.0,13721541941.0,-12762433286.0,2697273330.0
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,46.853.642,2.165.035.578,(1.983.425.565),228.463.655,46853642.0,2165035578.0,-1983425565.0,228463655.0
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,-,142.420.923,(142.420.923),-,,142420923.0,-142420923.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,118.500.000,(118.500.000),-,,118500000.0,-118500000.0,
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,2.079.572.185,38.500.028.552,(34.177.944.958),6.401.655.779,2079572185.0,38500028552.0,-34177944958.0,6401655779.0
,,,29.957.411.026,259.028.594.048,(233.833.536.322),55.152.468.752,29957411026.0,259028594048.0,-233833536322.0,55152468752.0
2016,2016,2016,Số dưđầu nămVND,Phát sinh trong năm,Phát sinh trong năm,Số ducuối nămVND,,,,
2016,2016,2016,Số dưđầu nămVND,Số phải nộpVND,Số đã nộpVND,Số ducuối nămVND,,,,
Thuế thu nhập doanh nghiệp,2016 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,39.639.680.089,96.956.449.526,(110.503.309.091),26.092.820.524,39639680089.0,96956449526.0,-110503309091.0,26092820524.0
Thuế giá trị gia tăng,2016 > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.239.163.224,8.193.560.612,(7.694.559.161),1.738.164.675,1239163224.0,8193560612.0,-7694559161.0,1738164675.0
Thuế nhà thầu,2016 > Thuế nhà thầu,Thuế nhà thầu,80.042.866,1.108.932.479,(1.142.121.703),46.853.642,80042866.0,1108932479.0,-1142121703.0,46853642.0
Thuế nhà đất,2016 > Thuế nhà đất,Thuế nhà đất,-,71.476.108,(71.476.108),-,,71476108.0,-71476108.0,
Các loại thuế khác,2016 > Các loại thuế khác,Các loại thuế khác,-,110.500.000,(110.500.000),-,,110500000.0,-110500000.0,
Các khoản phải nộp khác,2016 > Các khoản phải nộp khác,Các khoản phải nộp khác,1.378.651.784,7.583.565.665,(6.882.645.264),2.079.572.185,1378651784.0,7583565665.0,-6882645264.0,2079572185.0
,,,42.337.537.963,114.024.484.390,(126.404.611.327),29.957.411.026,42337537963.0,114024484390.0,-126404611327.0,29957411026.0
