row_label_raw,row_label_full,Tỷ lệ dự trữ bắt buộc,Tỷ lệ dự trữ bắt buộc_1,numeric__Tỷ lệ dự trữ bắt buộc_1
31/12/2017,31/12/2017,31/12/2017,31/12/2016,
8%,31/12/2017 > 8%,8%,8%,0.08
6%,31/12/2017 > 6%,6%,6%,0.06
3%,31/12/2017 > 3%,3%,3%,0.03
1%,31/12/2017 > 1%,1%,1%,0.01
1%,31/12/2017 > 1%,1%,1%,0.01
31/12/2017VND,31/12/2017VND,31/12/2017VND,31/12/2016VND,
2.864.950.248.529,31/12/2017VND > 2.864.950.248.529,2.864.950.248.529,1.103.053.472.845,1103053472845.0
241.845.498.180,31/12/2017VND > 241.845.498.180,241.845.498.180,96.553.714.278,96553714278.0
3.106.795.746.709,31/12/2017VND > 3.106.795.746.709,3.106.795.746.709,1.199.607.187.123,1199607187123.0
