row_label_raw,row_label_full,Năm trước > Số đầu năm > - Lợi nhuận thuần trcng năm,Vốn cổ phần đã góp > Năm trước > 4.757 111.670.000 > -,Thặng dư vốn cổ phần > Năm trước > 989.064.430.000 > -,Cổ phiếu quỹ > Năm trước > (364.466.650.000) > -,Quỹ đầu tư phát triển > Năm trước > 2.223.693.823 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước > 2.318.834.981.859 > 584.522.397.947,Lợi ích cổ đông không kiểm soát > Năm trước > 918.321.858.802 > 34.254.764.868,Đơn vị tính: VND > Năm trước > 8.621.089.984.484 > 618.777.162.815,numeric__Vốn cổ phần đã góp > Năm trước > 4.757 111.670.000 > -,numeric__Thặng dư vốn cổ phần > Năm trước > 989.064.430.000 > -,numeric__Cổ phiếu quỹ > Năm trước > (364.466.650.000) > -,numeric__Quỹ đầu tư phát triển > Năm trước > 2.223.693.823 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 2.318.834.981.859 > 584.522.397.947,numeric__Lợi ích cổ đông không kiểm soát > Năm trước > 918.321.858.802 > 34.254.764.868,numeric__Đơn vị tính: VND > Năm trước > 8.621.089.984.484 > 618.777.162.815
- Cổ tức chỉ trả,- Cổ tức chỉ trả,- Cổ tức chỉ trả,-,-,-,-,-,(6.250.000.000),(6.250.000.000),,,,,,-6250000000.0,-6250000000.0
- Tăng/(giảm) khác,- Tăng/(giảm) khác,- Tăng/(giảm) khác,-,-,-,-,1.149.512.242,(196.659.310.242),(195.509.798.000),,,,,1149512242.0,-196659310242.0,-195509798000.0
Số cuối năm,Số cuối năm,Số cuối năm,4.757 111.670.000,989.064.430.000,(364.466.650.000),2.223.693.823,2.904.506.892.048,749.667.313.428,9.038.107.349.299,,989064430000.0,-364466650000.0,2223693823.0,2904506892048.0,749667313428.0,9038107349299.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,4.757 111.670.000,989.064.430.000,(364.466.650.000),2.223.693.823,2.904.506.892.048,749.667.313.428,9.038.107.349.299,,989064430000.0,-364466650000.0,2223693823.0,2904506892048.0,749667313428.0,9038107349299.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,746.155.055.257,62.751.418.237,808.906.473.494,,,,,746155055257.0,62751418237.0,808906473494.0
- Cổ tức chỉ trả (*),Năm nay > - Cổ tức chỉ trả (*),- Cổ tức chỉ trả (*),-,-,-,-,-,(9.656.028.236),(9.656.028.236),,,,,,-9656028236.0,-9656028236.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,4.757 111.670.000,989.064.430.000,(364.466.650.000),2.223.693.823,3.650.661.947.305,802.762.703.429,9.837.357.794.557,,989064430000.0,-364466650000.0,2223693823.0,3650661947305.0,802762703429.0,9837357794557.0
