row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay các đối tượng khác (*),Vay ngắn hạn > Vay các đối tượng khác (*),Vay các đối tượng khác (*),25.935.378.567,25.935.378.567,-,-,25.935.378.567,25.935.378.567,25935378567.0,25935378567.0,,,25935378567.0,25935378567.0
Vay dài hạn và trái phiếu dài hạn đến hạn trả (Thuyết minh số 21.1 và Thuyết minh số 21.2),Vay ngắn hạn > Vay dài hạn và trái phiếu dài hạn đến hạn trả (Thuyết minh số 21.1 và Thuyết minh số 21.2),Vay dài hạn và trái phiếu dài hạn đến hạn trả (Thuyết minh số 21.1 và Thuyết minh số 21.2),993.502.560.000,993.502.560.000,740.980.678.000,(718.443.445.986),1.016.039.792.0^4,1.016.039.792.014,993502560000.0,993502560000.0,740980678000.0,-718443445986.0,,1016039792014.0
Vay ngắn hạn các bên liên quan (Thuyết minh số 30),Vay ngắn hạn > Vay ngắn hạn các bên liên quan (Thuyết minh số 30),Vay ngắn hạn các bên liên quan (Thuyết minh số 30),112.330.830.000,112.330.830.000,40.000.000.000,-,152.330.830.000,152.330.830.000,112330830000.0,112330830000.0,40000000000.0,,152330830000.0,152330830000.0
Vay đối tượng khác,Vay ngắn hạn > Vay đối tượng khác,Vay đối tượng khác,-,-,10.000.000.000,-,10.000.000.000,10.000.000.000,,,10000000000.0,,10000000000.0,10000000000.0
,,,1.131.768.768.567,1.131.768.768.567,790.980.678.000,(718.443.445.986),1.204.306.000.581,1.204.306.000.581,1131768768567.0,1131768768567.0,790980678000.0,-718443445986.0,1204306000581.0,1204306000581.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay dài hạn ngân ràng (Thuyết minh số 21.1),Vay dài hạn > Vay dài hạn ngân ràng (Thuyết minh số 21.1),Vay dài hạn ngân ràng (Thuyết minh số 21.1),548.136.511.458,548.136.511.458,261.900.329.277,(389.290.470.015),420.746.370.720,420.746.370.720,548136511458.0,548136511458.0,261900329277.0,-389290470015.0,420746370720.0,420746370720.0
Trái phiếu (Thuyết minh số 21.2),Vay dài hạn > Trái phiếu (Thuyết minh số 21.2),Trái phiếu (Thuyết minh số 21.2),1.042.521.557.518,1.042.521.557.518,1.113.428.060.610,(1.293.831.072.676),862.118.545.452,862.118.545.452,1042521557518.0,1042521557518.0,1113428060610.0,-1293831072676.0,862118545452.0,862118545452.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.590.658.068.976,1.590.658.068.976,1.375.328.389.887,(1.683.121.542.691),1.282.864.916.172,1.282.864.916.172,1590658068976.0,1590658068976.0,1375328389887.0,-1683121542691.0,1282864916172.0,1282864916172.0
