row_label_raw,row_label_full,col_0,Thuyết minh số,Số cuối năm,Đơn vị tính: VND,numeric__Thuyết minh số,numeric__Số cuối năm,numeric__Đơn vị tính: VND
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,14.1,516.941.269.318,503.087.714.088,141.0,516941269318.0,503087714088.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,14.2,448.500.200.000,448.500.200.000,142.0,448500200000.0,448500200000.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(17.708.401.963),(39.713.143.676),,-17708401963.0,-39713143676.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,947.733.067.355,911.874.770.412,,947733067355.0,911874770412.0
