row_label_raw,row_label_full,Bên liên quan > Phải thu khác về cho vay (Thuyết minh số 8),Môi quan hệ > Phải thu khác về cho vay (Thuyết minh số 8),Nôi dungnghiệp vụ > Phải thu khác về cho vay (Thuyết minh số 8),Đơn vị tính: VND > Năm nay > Phải thu khác về cho vay (Thuyết minh số 8),Đơn vị tính: VND > Năm trước > Phải thu khác về cho vay (Thuyết minh số 8),numeric__Môi quan hệ > Phải thu khác về cho vay (Thuyết minh số 8),numeric__Nôi dungnghiệp vụ > Phải thu khác về cho vay (Thuyết minh số 8),numeric__Đơn vị tính: VND > Năm nay > Phải thu khác về cho vay (Thuyết minh số 8),numeric__Đơn vị tính: VND > Năm trước > Phải thu khác về cho vay (Thuyết minh số 8)
Công ty Cổ phầnCông nghệ Viếnthông Sài Gòn - Chinánh Bắc Ninh,Công ty Cổ phầnCông nghệ Viếnthông Sài Gòn - Chinánh Bắc Ninh,Công ty Cổ phầnCông nghệ Viếnthông Sài Gòn - Chinánh Bắc Ninh,Công ty liênkết,Cho vay ngắn hạn,11.492.687.097,11.537.895.430,,,11492687097.0,11537895430.0
Công ty Cổ phầnĐầu tư Sài Gòn -Huế,Công ty Cổ phầnĐầu tư Sài Gòn -Huế,Công ty Cổ phầnĐầu tư Sài Gòn -Huế,Công ty liênkết,Cho vay ngắn hạn,-,400.000.000,,,,400000000.0
,,,,,11.492.687.097,11.937.895.430,,,11492687097.0,11937895430.0
