row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 9),Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),Đơn vị tính: VND > Năm nay > Phải thu ngắn hạn khác (Thuyết minh số 9),Đơn vị tính: VND > Năm trước > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Đơn vị tính: VND > Năm nay > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Đơn vị tính: VND > Năm trước > Phải thu ngắn hạn khác (Thuyết minh số 9)
Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Chủ tịch Hội đồng quản trị,Tạm ứng,195.814.309.000,51.152.658.689,,,195814309000.0,51152658689.0
Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Tổng giám đốc,Tạm ứng,3.489.211.820,3.489.211.820,,,3489211820.0,3489211820.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chi nhánh Bắc Ninh,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chi nhánh Bắc Ninh,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chi nhánh Bắc Ninh,Công ty liên kết,Đặt cọc,1.932.065.479,684.708.333,,,1932065479.0,684708333.0
Bà Nguyễn Mỹ Ngọc,Bà Nguyễn Mỹ Ngọc,Bà Nguyễn Mỹ Ngọc,Phó Tổng giám đốc,Tạm ứng,173.447.000,173.447.000,,,173447000.0,173447000.0
Ông Phan Anh Dũng,Ông Phan Anh Dũng,Ông Phan Anh Dũng,Phó Tổng giám đốc,Tạm ứng,110.000.000,110.000.000,,,110000000.0,110000000.0
Công ty Cổ phần Đầu tư Sài Gòn Huế,Công ty Cổ phần Đầu tư Sài Gòn Huế,Công ty Cổ phần Đầu tư Sài Gòn Huế,Công ty liên kết,Phải thu khác,-,36.500.000,,,,36500000.0
,,,,,201.519.033.299,55.646.525.842,,,201519033299.0,55646525842.0
Chi phí phải trả (Thuyết minh số 19),Chi phí phải trả (Thuyết minh số 19),Chi phí phải trả (Thuyết minh số 19),Chi phí phải trả (Thuyết minh số 19),Chi phí phải trả (Thuyết minh số 19),Chi phí phải trả (Thuyết minh số 19),Chi phí phải trả (Thuyết minh số 19),,,,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Chi phí phải trả (Thuyết minh số 19) > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Công ty liên kết,Lãi vay phải trả,775.082.727,640.285.731,,,775082727.0,640285731.0
,,,,,775.082.727,640.285.731,,,775082727.0,640285731.0
Vay ngắn hạn (Thuyết minh số 21),Vay ngắn hạn (Thuyết minh số 21),Vay ngắn hạn (Thuyết minh số 21),Vay ngắn hạn (Thuyết minh số 21),Vay ngắn hạn (Thuyết minh số 21),Vay ngắn hạn (Thuyết minh số 21),Vay ngắn hạn (Thuyết minh số 21),,,,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn (*),Vay ngắn hạn (Thuyết minh số 21) > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn (*),Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn (*),Công ty liên kết,Vay ngắn hạn,112.330.830.000,112.330.830.000,,,112330830000.0,112330830000.0
Công ty Cổ phần Đầu tư Sài Gòn Đà Nẵng,Vay ngắn hạn (Thuyết minh số 21) > Công ty Cổ phần Đầu tư Sài Gòn Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn Đà Nẵng,Công ty liên kết,Vay ngắn hạn,40.000.000.000,40.000.000.000,,,40000000000.0,40000000000.0
,,,,,152.330.830.000,152.330.830.000,,,152330830000.0,152330830000.0
