row_label_raw,row_label_full,col_0,Don vị tính: VND,Don vị tính: VND_1,numeric__Don vị tính: VND,numeric__Don vị tính: VND_1
,,,Năm nay,Năm trước,,
Các khoản chi phí bán hàng,Các khoản chi phí bán hàng,Các khoản chi phí bán hàng,,,,
"Phí tư vấn pháp lý, môi giới bán hàng","Các khoản chi phí bán hàng > Phí tư vấn pháp lý, môi giới bán hàng","Phí tư vấn pháp lý, môi giới bán hàng",128.510.332.025,15.803.977.774,128510332025.0,15803977774.0
Chi phí nhân viên bán hàng,Các khoản chi phí bán hàng > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,2.122.288.000,1.963.650.756,2122288000.0,1963650756.0
Khác,Các khoản chi phí bán hàng > Khác,Khác,11.381.947.903,4.355.659.954,11381947903.0,4355659954.0
TỔNG CỘNG,Các khoản chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,142.014.567.928,22.123.288.484,142014567928.0,22123288484.0
Các khoản chi phí quản lý doanh nghiệp,Các khoản chi phí quản lý doanh nghiệp,Các khoản chi phí quản lý doanh nghiệp,,,,
Chi phí khấu hao TSCĐ,Các khoản chi phí quản lý doanh nghiệp > Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,7.917.389.196,6.725.795.892,7917389196.0,6725795892.0
Lương thường nhân viên,Các khoản chi phí quản lý doanh nghiệp > Lương thường nhân viên,Lương thường nhân viên,85.992.134.624,77.554.077.099,85992134624.0,77554077099.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,41.893.836.671,48.005.685.580,41893836671.0,48005685580.0
Khác,Các khoản chi phí quản lý doanh nghiệp > Khác,Khác,29.055.074.464,22.472.072.591,29055074464.0,22472072591.0
TỔNG CỘNG,Các khoản chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,164.858.434.955,154.757.631.162,164858434955.0,154757631162.0
