row_label_raw,row_label_full,Giá trị khoản đầu tư vào công ty liên kết này tại thời điểm ngày 31 tháng 12 năm 2018 bao gồm: > Giá trị đầu tư: > Số đầu năm > Số cuối năm,Giá trị khoản đầu tư vào công ty liên kết này tại thời điểm ngày 31 tháng 12 năm 2018 bao gồm: > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn > Giá trị đầu tư: > 423.492.661.074,Giá trị khoản đầu tư vào công ty liên kết này tại thời điểm ngày 31 tháng 12 năm 2018 bao gồm: > Công ty Cổ phần Đầu tư Sài Gòn - Huế > Giá trị đầu tư: > 210.627.000.000,Giá trị khoản đầu tư vào công ty liên kết này tại thời điểm ngày 31 tháng 12 năm 2018 bao gồm: > Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu Công nghệ Cao Sài Gòn > Giá trị đầu tư: > 82.330.830.000,Giá trị khoản đầu tư vào công ty liên kết này tại thời điểm ngày 31 tháng 12 năm 2018 bao gồm: > Công ty Cổ phần Scanviwood > Giá trị đầu tư: > 7.204.600.000,Giá trị khoản đầu tư vào công ty liên kết này tại thời điểm ngày 31 tháng 12 năm 2018 bao gồm: > Đơn vị tính: VND Tống cộng > Giá trị đầu tư: > 723.655.091.074,numeric__Giá trị khoản đầu tư vào công ty liên kết này tại thời điểm ngày 31 tháng 12 năm 2018 bao gồm: > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn > Giá trị đầu tư: > 423.492.661.074,numeric__Giá trị khoản đầu tư vào công ty liên kết này tại thời điểm ngày 31 tháng 12 năm 2018 bao gồm: > Công ty Cổ phần Đầu tư Sài Gòn - Huế > Giá trị đầu tư: > 210.627.000.000,numeric__Giá trị khoản đầu tư vào công ty liên kết này tại thời điểm ngày 31 tháng 12 năm 2018 bao gồm: > Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu Công nghệ Cao Sài Gòn > Giá trị đầu tư: > 82.330.830.000,numeric__Giá trị khoản đầu tư vào công ty liên kết này tại thời điểm ngày 31 tháng 12 năm 2018 bao gồm: > Công ty Cổ phần Scanviwood > Giá trị đầu tư: > 7.204.600.000,numeric__Giá trị khoản đầu tư vào công ty liên kết này tại thời điểm ngày 31 tháng 12 năm 2018 bao gồm: > Đơn vị tính: VND Tống cộng > Giá trị đầu tư: > 723.655.091.074
Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,,,,,
Số đầu năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số đầu năm,Số đầu năm,(54.695.383.979),(4.647.545.184),116.144.530,(1.112.865.967),(60.339.650.600),-54695383979.0,-4647545184.0,116144530.0,-1112865967.0,-60339650600.0
- Pnần lợi nhuận/(lỗ) sau khi mua công ty liên kết,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > - Pnần lợi nhuận/(lỗ) sau khi mua công ty liên kết,- Pnần lợi nhuận/(lỗ) sau khi mua công ty liên kết,16.292.024.452,(2.129.176.622),(10.459.395),(298.833.205),13.853.555.230,16292024452.0,-2129176622.0,-10459395.0,-298833205.0,13853555230.0
Số cuối năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số cuối năm,Số cuối năm,(38.403.359.527),(6.776.721.806),105.685.135,(1.411.699.172),(46.486.095.370),-38403359527.0,-6776721806.0,105685135.0,-1411699172.0,-46486095370.0
Lợi thế thương mại:,Lợi thế thương mại:,Lợi thế thương mại:,Lợi thế thương mại:,Lợi thế thương mại:,Lợi thế thương mại:,Lợi thế thương mại:,Lợi thế thương mại:,,,,,
Số đầu năm,Lợi thế thương mại: > Số đầu năm,Số đầu năm,160.227.726.386,-,-,-,160.227.726.386,160227726386.0,,,,160227726386.0
Số cuối năm,Lợi thế thương mại: > Số cuối năm,Số cuối năm,160.227.726.386,-,-,-,160.227.726.386,160227726386.0,,,,160227726386.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,208.569.550.709,205.979.454.816,82.446.974.530,6.091.734.033,503.087.714.088,208569550709.0,205979454816.0,82446974530.0,6091734033.0,503087714088.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,224.861.575.161,203.850.278.196,82.436.515.135,5.792.900.828,516.941.269.318,224861575161.0,203850278196.0,82436515135.0,5792900828.0,516941269318.0
