row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
Dự án Khu công nghiệp và Khu đô thị Tràng Cát (i),Dự án Khu công nghiệp và Khu đô thị Tràng Cát (i),Dự án Khu công nghiệp và Khu đô thị Tràng Cát (i),3.505.529.857.431,-,3.475.130.804.472,-,3505529857431.0,,3475130804472.0,
Dự án Khu công nghiệp Tân Phú Trung (ii),Dự án Khu công nghiệp Tân Phú Trung (ii),Dự án Khu công nghiệp Tân Phú Trung (ii),2.377.277.112.343,-,2.458.594.519.135,-,2377277112343.0,,2458594519135.0,
Dự án Khu đô thị Phúc Ninh,Dự án Khu đô thị Phúc Ninh,Dự án Khu đô thị Phúc Ninh,859.600.850.430,-,810.973.261.789,-,859600850430.0,,810973261789.0,
Dự án Khu công nghiệp và đỗ thị Quang Châu,Dự án Khu công nghiệp và đỗ thị Quang Châu,Dự án Khu công nghiệp và đỗ thị Quang Châu,685.721.457.549,-,580.352.753.443,-,685721457549.0,,580352753443.0,
Dự án Khu công nghiệp Nam Sơn - Hạp Lĩnh,Dự án Khu công nghiệp Nam Sơn - Hạp Lĩnh,Dự án Khu công nghiệp Nam Sơn - Hạp Lĩnh,359.201.707.741,-,289.689.535.257,-,359201707741.0,,289689535257.0,
Dự án Khu công nghiệp Quế Võ mở rộng,Dự án Khu công nghiệp Quế Võ mở rộng,Dự án Khu công nghiệp Quế Võ mở rộng,120.435.014.799,-,287.319.068.733,-,120435014799.0,,287319068733.0,
Dự án Khu công nghiệp Tràng Duệ - giai đoạn 2,Dự án Khu công nghiệp Tràng Duệ - giai đoạn 2,Dự án Khu công nghiệp Tràng Duệ - giai đoạn 2,130.182.980.040,-,214.387.670.113,-,130182980040.0,,214387670113.0,
Dự án Khu đô thị Tràng Duệ,Dự án Khu đô thị Tràng Duệ,Dự án Khu đô thị Tràng Duệ,476.157.929.228,-,140.383.990.833,-,476157929228.0,,140383990833.0,
Dự án Khu công nghiệp Quế Võ hiện hữu,Dự án Khu công nghiệp Quế Võ hiện hữu,Dự án Khu công nghiệp Quế Võ hiện hữu,57.860.916.072,-,48.533.883.603,-,57860916072.0,,48533883603.0,
Dự án Khu công nghiệp Tràng Duệ - giai đoạn 1(iii),Dự án Khu công nghiệp Tràng Duệ - giai đoạn 1(iii),Dự án Khu công nghiệp Tràng Duệ - giai đoạn 1(iii),7.255.853.913,-,3.692.426.705,-,7255853913.0,,3692426705.0,
Các dự án khác,Các dự án khác,Các dự án khác,13.607.889.629,-,13.566.884.421,-,13607889629.0,,13566884421.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,8.592.831.569.175,-,8.322.624.798.504,-,8592831569175.0,,8322624798504.0,
