row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,2.491.178.878.521,1.260.198.518.971,2491178878521.0,1260198518971.0
Trong đó:,Trong đó:,Trong đó:,,,,
Doanh thu cho thuê đất và cơ sở hạ tầng (*),Trong đó: > Doanh thu cho thuê đất và cơ sở hạ tầng (*),Doanh thu cho thuê đất và cơ sở hạ tầng (*),2.018.386.888.972,716.656.729.312,2018386888972.0,716656729312.0
Doanh thu bán nhà xưởng,Trong đó: > Doanh thu bán nhà xưởng,Doanh thu bán nhà xưởng,178.832.038.000,137.075.312.000,178832038000.0,137075312000.0
"Doanh thu cung cấp nước sạch, điện, phí dịch vụ và xử lý nước thải","Trong đó: > Doanh thu cung cấp nước sạch, điện, phí dịch vụ và xử lý nước thải","Doanh thu cung cấp nước sạch, điện, phí dịch vụ và xử lý nước thải",163.821.817.906,137.036.076.729,163821817906.0,137036076729.0
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,93.173.385.733,232.840.459.947,93173385733.0,232840459947.0
"Doanh thu cho thuê kho, nhà xưởng và văn phòng","Trong đó: > Doanh thu cho thuê kho, nhà xưởng và văn phòng","Doanh thu cho thuê kho, nhà xưởng và văn phòng",36.964.747.910,36.589.940.983,36964747910.0,36589940983.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,2.491.178.878.521,1.260.198.518.971,2491178878521.0,1260198518971.0
Trong đó:,Trong đó:,Trong đó:,,,,
Doanh thu với các bên khác,Trong đó: > Doanh thu với các bên khác,Doanh thu với các bên khác,2.491.178.878.521,1.260.198.518.971,2491178878521.0,1260198518971.0
Doanh thu với các bên liên quan,Doanh thu với các bên liên quan,Doanh thu với các bên liên quan,-,-,,
