row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải thu Công ty Cổ phần Dịch vụ Kinh Bắc (i),Ngắn hạn > Phải thu Công ty Cổ phần Dịch vụ Kinh Bắc (i),Phải thu Công ty Cổ phần Dịch vụ Kinh Bắc (i),638.720.513.305,-,565.437.813.547,-,638720513305.0,,565437813547.0,
Công ty Cổ phần Đầu tư Sài Gòn (ii),Ngắn hạn > Công ty Cổ phần Đầu tư Sài Gòn (ii),Công ty Cổ phần Đầu tư Sài Gòn (ii),583.000.000.000,-,583.000.000.000,-,583000000000.0,,583000000000.0,
Ứng trước cho PVCombank liên quan đến mua khoản đầu tư,Ngắn hạn > Ứng trước cho PVCombank liên quan đến mua khoản đầu tư,Ứng trước cho PVCombank liên quan đến mua khoản đầu tư,216.840.284.000,-,211.840.284.000,-,216840284000.0,,211840284000.0,
Phải thu khác các bên liên quan (Thuyết minh số 30),Ngắn hạn > Phải thu khác các bên liên quan (Thuyết minh số 30),Phải thu khác các bên liên quan (Thuyết minh số 30),201.519.033.299,-,55.646.525.842,-,201519033299.0,,55646525842.0,
Phải thu Công ty Cổ phần Kum-Ba (iii),Ngắn hạn > Phải thu Công ty Cổ phần Kum-Ba (iii),Phải thu Công ty Cổ phần Kum-Ba (iii),43.577.296.000,-,163.577.296.000,-,43577296000.0,,163577296000.0,
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,56.588.207.482,-,42.534.859.875,-,56588207482.0,,42534859875.0,
Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh (iv),Ngắn hạn > Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh (iv),Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh (iv),19.440.000.000,-,19.440.000.000,-,19440000000.0,,19440000000.0,
Phải thu tiền đặt cọc (v),Ngắn hạn > Phải thu tiền đặt cọc (v),Phải thu tiền đặt cọc (v),12.851.128.404,-,12.851.128.404,-,12851128404.0,,12851128404.0,
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,47.586.758.210,-,17.602.566.498,-,47586758210.0,,17602566498.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.820.123.220.700,-,1.671.930.474.166,-,1820123220700.0,,1671930474166.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Công ty Cổ phần Địa ốc Viễn Đông Việt Nam (vi),Dài hạn > Công ty Cổ phần Địa ốc Viễn Đông Việt Nam (vi),Công ty Cổ phần Địa ốc Viễn Đông Việt Nam (vi),600.000.000.000,-,600.000.000.000,-,600000000000.0,,600000000000.0,
Công ty Cổ phần Dịch vụ Kinh Bắc (vii),Dài hạn > Công ty Cổ phần Dịch vụ Kinh Bắc (vii),Công ty Cổ phần Dịch vụ Kinh Bắc (vii),-,-,70.903.647.915,-,,,70903647915.0,
Phải thu dài hạn khác,Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,269.000.000,-,269.000.000,-,269000000.0,,269000000.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,600.269.000.000,-,671.172.647.915,-,600269000000.0,,671172647915.0,
