row_label_raw,row_label_full,Bà Nguyễn Bích Ngoc,Trường ban,numeric__Trường ban
Bà Thế Thị Minh Hồng,Bà Thế Thị Minh Hồng,Bà Thế Thị Minh Hồng,Thành viên,
Ông Trần Tiến Thành,Ông Trần Tiến Thành,Ông Trần Tiến Thành,Thành viên,
