row_label_raw,row_label_full,Phải trả ANCO cho việc chuyển nhượng MNS Meat do tái cấu trúc (Thuyết minh 11(a)) (*),31/12/2020VND > 1.999.989.111.000,1/1/2020VND > -,numeric__31/12/2020VND > 1.999.989.111.000,numeric__1/1/2020VND > -
Chi phí lãi vay phải trả cho Công ty TNHH Tầm nhìn,Chi phí lãi vay phải trả cho Công ty TNHH Tầm nhìn,Chi phí lãi vay phải trả cho Công ty TNHH Tầm nhìn,,,,
"Masan, một bên liên quan (***)","Chi phí lãi vay phải trả cho Công ty TNHH Tầm nhìn > Masan, một bên liên quan (***)","Masan, một bên liên quan (***)",3.276.712.329,-,3276712329.0,
Phải trả khác cho các bên liên quan (***),Chi phí lãi vay phải trả cho Công ty TNHH Tầm nhìn > Phải trả khác cho các bên liên quan (***),Phải trả khác cho các bên liên quan (***),389.409.575,290.168.126,389409575.0,290168126.0
Phải trả khác,Chi phí lãi vay phải trả cho Công ty TNHH Tầm nhìn > Phải trả khác,Phải trả khác,6.335.094.368,7.572.011.537,6335094368.0,7572011537.0
,,,2.009.990.327.272,7.862.179.663,2009990327272.0,7862179663.0
