row_label_raw,row_label_full,Các công ty con,31/12/2020VND,numeric__31/12/2020VND
Công ty TNHH MNS Feed Hậu Giang,Công ty TNHH MNS Feed Hậu Giang,Công ty TNHH MNS Feed Hậu Giang,48.701.275.246,48701275246.0
Công ty TNHH MNS Feed Nghệ An,Công ty TNHH MNS Feed Nghệ An,Công ty TNHH MNS Feed Nghệ An,37.515.503.772,37515503772.0
Công ty TNHH MNS Feed Thái Nguyên,Công ty TNHH MNS Feed Thái Nguyên,Công ty TNHH MNS Feed Thái Nguyên,22.254.022.666,22254022666.0
Công ty TNHH Một Thành Viên Con Cò Bình Định,Công ty TNHH Một Thành Viên Con Cò Bình Định,Công ty TNHH Một Thành Viên Con Cò Bình Định,17.656.028.973,17656028973.0
Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,169.375.175.585,169375175585.0
Công ty TNHH MNS Meat Hà Nam,Công ty TNHH MNS Meat Hà Nam,Công ty TNHH MNS Meat Hà Nam,95.824.630.158,95824630158.0
Công ty TNHH MNS Farm Nghệ An,Công ty TNHH MNS Farm Nghệ An,Công ty TNHH MNS Farm Nghệ An,170.322.923.047,170322923047.0
