row_label_raw,row_label_full,col_0,MNS Meat VND,Đầu tư khác VND,Tổng VND,numeric__MNS Meat VND,numeric__Đầu tư khác VND,numeric__Tổng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,10.889.000,175.543.000.000,175.553.889.000,10889000.0,175543000000.0,175553889000.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,3.000.000,-,3.000.000,3000000.0,,3000000.0
Chuyển sang đầu tư vào các công ty con,Chuyển sang đầu tư vào các công ty con,Chuyển sang đầu tư vào các công ty con,(13.889.000),-,(13.889.000),-13889000.0,,-13889000.0
Thanh lý khoản đầu tư,Thanh lý khoản đầu tư,Thanh lý khoản đầu tư,-,(175.543.000.000),(175.543.000.000),,-175543000000.0,-175543000000.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,-,,,
