row_label_raw,row_label_full,col_0,MNS Feed VND,ANCO VND,MNS Meat VND,3F VIỆT VND,Khác VND,Tổng VND,numeric__MNS Feed VND,numeric__ANCO VND,numeric__MNS Meat VND,numeric__3F VIỆT VND,numeric__Khác VND,numeric__Tổng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,3.111.990.000.000,3.581.563.422.729,-,-,897.200.000,6.694.450.622.729,3111990000000.0,3581563422729.0,,,897200000.0,6694450622729.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,4.172.000.000.000,414.000.000.000,1.999.989.111.000,614.774.300.000,-,7.200.763.411.000,4172000000000.0,414000000000.0,1999989111000.0,614774300000.0,,7200763411000.0
Chuyển từ đầu tư góp vốn vào các đơn vị khác,Chuyển từ đầu tư góp vốn vào các đơn vị khác,Chuyển từ đầu tư góp vốn vào các đơn vị khác,-,-,13.889.000,-,-,13.889.000,,,13889000.0,,,13889000.0
Thanh lý khoản đầu tư,Thanh lý khoản đầu tư,Thanh lý khoản đầu tư,-,(3.995.563.422.729),-,-,-,(3.995.563.422.729),,-3995563422729.0,,,,-3995563422729.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,7.283.990.000.000,-,2.000.003.000.000,614.774.300.000,897.200.000,9.899.664.500.000,7283990000000.0,,2000003000000.0,614774300000.0,897200000.0,9899664500000.0
Thông tin chi tiết của các công ty con như sau:,Thông tin chi tiết của các công ty con như sau:,Thông tin chi tiết của các công ty con như sau:,Thông tin chi tiết của các công ty con như sau:,Thông tin chi tiết của các công ty con như sau:,Thông tin chi tiết của các công ty con như sau:,Thông tin chi tiết của các công ty con như sau:,Thông tin chi tiết của các công ty con như sau:,Thông tin chi tiết của các công ty con như sau:,,,,,,
Tên,Tên,Tên,Tên,Trụ sở,Trụ sở,Trụ sở,Hoạt động chính,Hoạt động chính,,,,,,
Công ty TNHH MNS Feed,Công ty TNHH MNS Feed,Công ty TNHH MNS Feed,"Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom, Tỉnh Đồng Nai, Việt Nam","Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom, Tỉnh Đồng Nai, Việt Nam","Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom, Tỉnh Đồng Nai, Việt Nam","Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom, Tỉnh Đồng Nai, Việt Nam",Tư vấn quản lý đầu tư;,Tư vấn quản lý đầu tư;,,,,,,
Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,"Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom, Tỉnh Đồng Nai, Việt Nam","Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom, Tỉnh Đồng Nai, Việt Nam","Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom, Tỉnh Đồng Nai, Việt Nam","Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom, Tỉnh Đồng Nai, Việt Nam","Sản xuất, chế biến thức ăn gia súc, gia cầm và thủy sản;","Sản xuất, chế biến thức ăn gia súc, gia cầm và thủy sản;",,,,,,
Công ty TNHH MNS Meat,Công ty TNHH MNS Meat,Công ty TNHH MNS Meat,"Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom, Tỉnh Đồng Nai, Việt Nam","Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom, Tỉnh Đồng Nai, Việt Nam","Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom, Tỉnh Đồng Nai, Việt Nam","Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom, Tỉnh Đồng Nai, Việt Nam",Tư vấn quản lý đầu tư;,Tư vấn quản lý đầu tư;,,,,,,
Công ty Cổ phần 3F VIỆT,Công ty Cổ phần 3F VIỆT,Công ty Cổ phần 3F VIỆT,"68 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","68 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","68 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","68 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Chăn nuôi gia cầm và chế biến và bảo quản thịt và các sản phẩm chế biến từ thịt;,Chăn nuôi gia cầm và chế biến và bảo quản thịt và các sản phẩm chế biến từ thịt;,,,,,,
