row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Năm nay,Đơn vị: VND > Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Năm nay,numeric__Đơn vị: VND > Năm trước
III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1.,1.,Tiền thu từ đi vay,33,1.391.305.905.212,1.380.601.265.566,,33.0,1391305905212.0,1380601265566.0
2.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2.,2.,Tiền trả nợ gốc vay,34,(2.071.781.038.480),(1.500.935.927.152),,34.0,-2071781038480.0,-1500935927152.0
3.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3.,3.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(946.283.401.510),(423.444.313.500),,36.0,-946283401510.0,-423444313500.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(1.626.758.534.778),(543.778.975.086),,40.0,-1626758534778.0,-543778975086.0
,,,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,1.722.728.011.627,(97.622.297.168),,50.0,1722728011627.0,-97622297168.0
,,,Tiền đầu năm,60,410.279.110.776,507.850.887.756,,60.0,410279110776.0,507850887756.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(17.795.658.802),50.520.188,,61.0,-17795658802.0,50520188.0
,,,Tiền cuối năm (70=50+60+61),70,2.115.211.463.601,410.279.110.776,,70.0,2115211463601.0,410279110776.0
Đảm Thị Thúy An Người lập biểu,Đảm Thị Thúy An Người lập biểu,Đảm Thị Thúy An Người lập biểu,Đảm Thị Thúy An Người lập biểu,Đinh Như CườngKế toán trường,Lê Ngọc Minh TríPhó Tổng Giám đốcNgày 20 tháng 02 năm 2023,Lê Ngọc Minh TríPhó Tổng Giám đốcNgày 20 tháng 02 năm 2023,,,,
