row_label_raw,row_label_full,Năm trước,Nội địa > VND,Nước ngoài > VND,Tổng cộng > VND,numeric__Nội địa > VND,numeric__Nước ngoài > VND,numeric__Tổng cộng > VND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,7.836.870.854.968,2.045.925.014.629,9.882.795.869.597,7836870854968.0,2045925014629.0,9882795869597.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(5.630.139.889.788),(1.501.597.460.261),(7.131.737.350.049),-5630139889788.0,-1501597460261.0,-7131737350049.0
Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,2.206.730.965.180,544.327.554.368,2.751.058.519.548,2206730965180.0,544327554368.0,2751058519548.0
Chi phí hoạt động chung,Chi phí hoạt động chung,Chi phí hoạt động chung,,,(927.267.298.168),,,-927267298168.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,169.464.256.157,,,169464256157.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,(44.471.557.928),,,-44471557928.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,4.371.195.381,,,4371195381.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(2.600.635.560),,,-2600635560.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,1.950.554.479.430,,,1950554479430.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,(136.301.076.248),,,-136301076248.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,,,7.579.523.798,,,7579523798.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,1.821.832.926.980,,,1821832926980.0
