row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,5.294.000.000.000,414.542.823.262,583.945.978.675,6.292.488.801.937,5294000000000.0,414542823262.0,583945978675.0,6292488801937.0
Điều chỉnh lợi nhuận liên quan đến cổ phần hóa,Điều chỉnh lợi nhuận liên quan đến cổ phần hóa,Điều chỉnh lợi nhuận liên quan đến cổ phần hóa,-,-,(52.267.239.293),(52.267.239.293),,,-52267239293.0,-52267239293.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,1.821.832.926.980,1.821.832.926.980,,,1821832926980.0,1821832926980.0
Tạm trích Quỹ đầu tư phát triển từ lợi nhuận trong năm,Tạm trích Quỹ đầu tư phát triển từ lợi nhuận trong năm,Tạm trích Quỹ đầu tư phát triển từ lợi nhuận trong năm,-,546.549.878.094,(546.549.878.094),-,,546549878094.0,-546549878094.0,
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận trong năm","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận trong năm","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận trong năm",-,-,(196.224.530.000),(196.224.530.000),,,-196224530000.0,-196224530000.0
"Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020",-,-,528.642.500,528.642.500,,,528642500.0,528642500.0
Chia cổ tức từ lợi nhuận năm 2020,Chia cổ tức từ lợi nhuận năm 2020,Chia cổ tức từ lợi nhuận năm 2020,-,-,(423.520.000.000),(423.520.000.000),,,-423520000000.0,-423520000000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,5.294.000.000.000,961.092.701.356,1.187.745.900.768,7.442.838.602.124,5294000000000.0,961092701356.0,1187745900768.0,7442838602124.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,4.313.435.784.891,4.313.435.784.891,,,4313435784891.0,4313435784891.0
Tạm trích Quỹ đầu tư phát triển từ lợi nhuận trong năm (i),Tạm trích Quỹ đầu tư phát triển từ lợi nhuận trong năm (i),Tạm trích Quỹ đầu tư phát triển từ lợi nhuận trong năm (i),-,1.294.030.735.467,(1.294.030.735.467),-,,1294030735467.0,-1294030735467.0,
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận trong năm (i)","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận trong năm (i)","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận trong năm (i)",-,-,(238.193.457.903),(238.193.457.903),,,-238193457903.0,-238193457903.0
"Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021 (ii)","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021 (ii)","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021 (ii)",-,-,555.210.000,555.210.000,,,555210000.0,555210000.0
Chia cổ tức từ lợi nhuận năm 2021,Chia cổ tức từ lợi nhuận năm 2021,Chia cổ tức từ lợi nhuận năm 2021,-,-,(952.920.000.000),(952.920.000.000),,,-952920000000.0,-952920000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,5.294.000.000.000,2.255.123.436.823,3.016.592.702.289,10.565.716.139.112,5294000000000.0,2255123436823.0,3016592702289.0,10565716139112.0
