row_label_raw,row_label_full,Năm nay,Nội địa > VND,Nước ngoài > VND,Tổng cộng > VND,numeric__Nội địa > VND,numeric__Nước ngoài > VND,numeric__Tổng cộng > VND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,9.499.995.612.738,6.396.422.097.521,15.896.417.710.259,9499995612738.0,6396422097521.0,15896417710259.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(6.532.649.137.813),(3.690.185.740.052),(10.222.834.877.865),-6532649137813.0,-3690185740052.0,-10222834877865.0
Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,2.967.346.474.925,2.706.236.357.469,5.673.582.832.394,2967346474925.0,2706236357469.0,5673582832394.0
Chi phí hoạt động chung,Chi phí hoạt động chung,Chi phí hoạt động chung,,,(1.333.104.780.510),,,-1333104780510.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,302.384.820.754,,,302384820754.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,(59.983.723.863),,,-59983723863.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,15.225.626.021,,,15225626021.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(12.045.867.453),,,-12045867453.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,4.586.058.907.343,,,4586058907343.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,(268.134.110.480),,,-268134110480.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,(4.489.011.972),,,-4489011972.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,4.313.435.784.891,,,4313435784891.0
