row_label_raw,row_label_full,Tập đoàn Dầu khí Việt Nam > Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP > Công ty TNHH Bảo hiểm nhân thọ Sun Life Việt Nam,Số cuối năm > Giá trị > 529.071.661.373 > 57.831.729.358 > 24.569.757.920,Số cuối năm > VND > Số có khả năng trả nợ > 529.071.661.373 > 57.831.729.358 > 24.569.757.920,Số đầu năm > Giá trị > 423.982.939.595 > 55.878.041.576 > 4.859.500.000,Số đầu năm > VND > Số có khả năng trả nợ > 423.982.939.595 > 55.878.041.576 > 4.859.500.000,numeric__Số cuối năm > Giá trị > 529.071.661.373 > 57.831.729.358 > 24.569.757.920,numeric__Số cuối năm > VND > Số có khả năng trả nợ > 529.071.661.373 > 57.831.729.358 > 24.569.757.920,numeric__Số đầu năm > Giá trị > 423.982.939.595 > 55.878.041.576 > 4.859.500.000,numeric__Số đầu năm > VND > Số có khả năng trả nợ > 423.982.939.595 > 55.878.041.576 > 4.859.500.000
Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP - Chi nhánh Kinh doanh Hóa chất Dầu khí,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP - Chi nhánh Kinh doanh Hóa chất Dầu khí,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP - Chi nhánh Kinh doanh Hóa chất Dầu khí,23.725.630.102,23.725.630.102,19.494.639.698,19.494.639.698,23725630102.0,23725630102.0,19494639698.0,19494639698.0
Công ty Cổ phần Đầu tư và Vận tải Dầu khí Việt Nam,Công ty Cổ phần Đầu tư và Vận tải Dầu khí Việt Nam,Công ty Cổ phần Đầu tư và Vận tải Dầu khí Việt Nam,20.710.209.811,20.710.209.811,5.876.074.775,5.876.074.775,20710209811.0,20710209811.0,5876074775.0,5876074775.0
Công ty Cổ phần Vận tải Thuận Phát,Công ty Cổ phần Vận tải Thuận Phát,Công ty Cổ phần Vận tải Thuận Phát,17.812.157.628,17.812.157.628,8.506.084.068,8.506.084.068,17812157628.0,17812157628.0,8506084068.0,8506084068.0
Phải trả cho các đối tượng khác,Phải trả cho các đối tượng khác,Phải trả cho các đối tượng khác,337.711.254.879,337.711.254.879,255.285.692.811,255.285.692.811,337711254879.0,337711254879.0,255285692811.0,255285692811.0
,,,1.011.432.401.071,1.011.432.401.071,773.882.972.523,773.882.972.523,1011432401071.0,1011432401071.0,773882972523.0,773882972523.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Phải trả người bán là các bên liên quan(chi tiết tại Thuyết minh số 33),Trong đó: > Phải trả người bán là các bên liên quan(chi tiết tại Thuyết minh số 33),Phải trả người bán là các bên liên quan(chi tiết tại Thuyết minh số 33),641.599.892.967,641.599.892.967,525.617.941.927,525.617.941.927,641599892967.0,641599892967.0,525617941927.0,525617941927.0
