row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,Thiết bịvăn phòng,Phương tiệnvận tải và thiếtbj truyền dẫn,Tài sản cố địnhhửu hình khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Thiết bịvăn phòng,numeric__Phương tiệnvận tải và thiếtbj truyền dẫn,numeric__Tài sản cố địnhhửu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,3.817.924.593.524,10.939.708.565.656,93.001.816.206,72.888.360.611,59.369.973.815,14.982.893.309.812,3817924593524.0,10939708565656.0,93001816206.0,72888360611.0,59369973815.0,14982893309812.0
Mua sắm mới trong năm,NGUYÊN GIÁ > Mua sắm mới trong năm,Mua sắm mới trong năm,6.802.479.863,16.351.659.170,29.268.802.489,5.504.181.045,-,57.927.122.567,6802479863.0,16351659170.0,29268802489.0,5504181045.0,,57927122567.0
Đầu tư xây dựng cơ bản hoànthành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoànthành,Đầu tư xây dựng cơ bản hoànthành,9.626.159.474,106.153.830.353,-,-,-,115.779.989.827,9626159474.0,106153830353.0,,,,115779989827.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.132.357.515),-,(5.035.212.040),-,(9.167.569.555),,-4132357515.0,,-5035212040.0,,-9167569555.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,3.834.353.232.861,11.058.081.697.664,122.270.618.695,73.357.329.616,59.369.973.815,15.147.432.852.651,3834353232861.0,11058081697664.0,122270618695.0,73357329616.0,59369973815.0,15147432852651.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,2.869.869.147.757,8.646.882.503.113,63.983.082.342,57.430.949.547,18.691.346.131,11.656.857.028.890,2869869147757.0,8646882503113.0,63983082342.0,57430949547.0,18691346131.0,11656857028890.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,332.968.280.900,1.032.811.261.185,5.835.567.038,3.862.255.545,136.601.881,1.375.613.966.549,332968280900.0,1032811261185.0,5835567038.0,3862255545.0,136601881.0,1375613966549.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.132.357.515),-,(5.035.212.040),-,(9.167.569.555),,-4132357515.0,,-5035212040.0,,-9167569555.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.202.837.428.657,9.675.561.406.783,69.818.649.380,56.257.993.052,18.827.948.012,13.023.303.425.884,3202837428657.0,9675561406783.0,69818649380.0,56257993052.0,18827948012.0,13023303425884.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,948.055.445.767,2.292.826.062.543,29.018.733.864,15.457.411.064,40.678.627.684,3.326.036.280.922,948055445767.0,2292826062543.0,29018733864.0,15457411064.0,40678627684.0,3326036280922.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,631.515.804.204,1.382.520.290.881,52.451.969.315,17.099.336.564,40.542.025.803,2.124.129.426.767,631515804204.0,1382520290881.0,52451969315.0,17099336564.0,40542025803.0,2124129426767.0
