row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị còn lại,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Đơn vị tính: VND > Giá trị còn lại,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị còn lại,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Đơn vị tính: VND > Giá trị còn lại
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,487.478.759.500,(25.567.440.236),461.911.319.264,489.105.400.118,(31.413.169.028),457.692.231.090,487478759500.0,-25567440236.0,461911319264.0,489105400118.0,-31413169028.0,457692231090.0
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",431.176.467.098,(9.482.450.591),421.694.016.507,425.232.441.954,(9.002.774.861),416.229.667.093,431176467098.0,-9482450591.0,421694016507.0,425232441954.0,-9002774861.0,416229667093.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,14.856.366.653,(270.418.500),14.585.948.153,14.856.366.653,-,14.856.366.653,14856366653.0,-270418500.0,14585948153.0,14856366653.0,,14856366653.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,933.511.593.251,(35.320.309.327),898.191.283.924,929.194.208.725,(40.415.943.889),888.778.264.836,933511593251.0,-35320309327.0,898191283924.0,929194208725.0,-40415943889.0,888778264836.0
"Chi tiết tinh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tinh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tinh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tinh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tinh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tinh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tinh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tinh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tinh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:",,,,,,
,,,,,,,Năm nay,Đơn vị tính: VNDNăm trước,,,,,,
Số đầu năm,"Chi tiết tinh hình tăng, giảm dự phòng đầu tư tài chính dài hạn: > Số đầu năm",Số đầu năm,,,,,40.415.943.889,27.468.114.469,,,,,40415943889.0,27468114469.0
Cộng: Dự phòng trích lập trong năm,"Chi tiết tinh hình tăng, giảm dự phòng đầu tư tài chính dài hạn: > Cộng: Dự phòng trích lập trong năm",Cộng: Dự phòng trích lập trong năm,,,,,3.750.012.643,15.706.770.843,,,,,3750012643.0,15706770843.0
Trừ: Hoàn nhập dự phòng trong năm,"Chi tiết tinh hình tăng, giảm dự phòng đầu tư tài chính dài hạn: > Trừ: Hoàn nhập dự phòng trong năm",Trừ: Hoàn nhập dự phòng trong năm,,,,,(8.845.647.205),(2.758.941.423),,,,,-8845647205.0,-2758941423.0
Số cuối năm,"Chi tiết tinh hình tăng, giảm dự phòng đầu tư tài chính dài hạn: > Số cuối năm",Số cuối năm,,,,,35.320.309.327,40.415.943.889,,,,,35320309327.0,40415943889.0
