row_label_raw,row_label_full,Ông Phí Mạnh Cường,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Đỗ Vinh Quang,Ông Đỗ Vinh Quang,Ông Đỗ Vinh Quang,Phó Chủ tịch,bổ nhiệm ngày 28 tháng 6 năm 2024,,
Ông Đỗ Ngoc Khanh,Ông Đỗ Ngoc Khanh,Ông Đỗ Ngoc Khanh,Phó Chủ tịch,miễn nhiệm ngày 28 tháng 6 năm 2024,,
Ông Lê Quốc Khánh,Ông Lê Quốc Khánh,Ông Lê Quốc Khánh,Thành viên,,,
Ông Nguyễn Trung Kiên,Ông Nguyễn Trung Kiên,Ông Nguyễn Trung Kiên,Thành viên,,,
Bà Ngô Thị Thủy Mai,Bà Ngô Thị Thủy Mai,Bà Ngô Thị Thủy Mai,Thành viên,bổ nhiệm ngày 28 tháng 6 năm 2024,,
Ông Nguyễn Tấn Cường,Ông Nguyễn Tấn Cường,Ông Nguyễn Tấn Cường,Thành viên,miễn nhiệm ngày 28 tháng 6 năm 2024,,
