row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,TSCĐ vô hình khác,Đơn vị tính: VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,21.475.798.076,1.387.700.000,22.899.451.182,45.762.949.258,21475798076.0,1387700000.0,22899451182.0,45762949258.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,21.475.798.076,1.387.700.000,22.899.451.182,45.762.949.258,21475798076.0,1387700000.0,22899451182.0,45762949258.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,-,1.312.422.208,21.971.495.755,23.283.917.963,,1312422208.0,21971495755.0,23283917963.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,4.791.803.034,1.332.422.200,22.071.448.815,28.195.674.049,4791803034.0,1332422200.0,22071448815.0,28195674049.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,388.103.964,19.999.992,90.739.968,498.843.924,388103964.0,19999992.0,90739968.0,498843924.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,5.179.906.998,1.352.422.192,22.162.188.783,28.694.517.973,5179906998.0,1352422192.0,22162188783.0,28694517973.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,16.683.995.042,55.277.800,828.002.367,17.567.275.209,16683995042.0,55277800.0,828002367.0,17567275209.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,16.295.891.078,35.277.808,737.262.399,17.068.431.285,16295891078.0,35277808.0,737262399.0,17068431285.0
