row_label_raw,row_label_full,Tên đơn vị,Tên đơn vị_1,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị thuần,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị thuần,numeric__Tên đơn vị_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị thuần,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị thuần
Đầu tư vào công ty liên kết (tiếp theo),Đầu tư vào công ty liên kết (tiếp theo),Đầu tư vào công ty liên kết (tiếp theo),Đầu tư vào công ty liên kết (tiếp theo),Đầu tư vào công ty liên kết (tiếp theo),Đầu tư vào công ty liên kết (tiếp theo),Đầu tư vào công ty liên kết (tiếp theo),Đầu tư vào công ty liên kết (tiếp theo),Đầu tư vào công ty liên kết (tiếp theo),Đầu tư vào công ty liên kết (tiếp theo),,,,,,,
17,Đầu tư vào công ty liên kết (tiếp theo) > 17,17,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Naforimex Hà nội,1.436.982.760,-,1.436.982.760,1.436.982.760,-,1.436.982.760,,1436982760.0,,1436982760.0,1436982760.0,,1436982760.0
18,Đầu tư vào công ty liên kết (tiếp theo) > 18,18,Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,1.115.926.139,-,1.115.926.139,1.115.926.139,-,1.115.926.139,,1115926139.0,,1115926139.0,1115926139.0,,1115926139.0
19,Đầu tư vào công ty liên kết (tiếp theo) > 19,19,Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,442.110.305,-,442.110.305,442.110.305,-,442.110.305,,442110305.0,,442110305.0,442110305.0,,442110305.0
20,Đầu tư vào công ty liên kết (tiếp theo) > 20,20,Công ty Cổ phần Giống Lâm nghiệp Trung U'ong,125.915.764,(125.915.764),-,125.915.764,(125.915.764),-,,125915764.0,-125915764.0,,125915764.0,-125915764.0,
21,21,21,Công ty Cổ phần Thương mại Công nghiệp và Chế biển gỗ,-,-,-,-,-,-,,,,,,,
22,22,22,Công ty Cổ phần Nguyên liệu giấy và gỗ Tân Thành,-,-,-,-,-,-,,,,,,,
TỔNG CỘNG,22 > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,431.176.467.098,(9.482.450.591),421.694.016.507,425.232.441.954,(9.002.774.861),416.229.667.093,,431176467098.0,-9482450591.0,421694016507.0,425232441954.0,-9002774861.0,416229667093.0
