row_label_raw,row_label_full,Bên liên quan > Phải thu dài hạn khác (Thuyết minh số 8),Mối quan hệ > Phải thu dài hạn khác (Thuyết minh số 8),Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 8),Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 8),Số đầu năm > Phải thu dài hạn khác (Thuyết minh số 8),numeric__Mối quan hệ > Phải thu dài hạn khác (Thuyết minh số 8),numeric__Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 8),numeric__Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 8),numeric__Số đầu năm > Phải thu dài hạn khác (Thuyết minh số 8)
Công ty TNHH MTV Ván dán Vinafor Bắc Giang,Công ty TNHH MTV Ván dán Vinafor Bắc Giang,Công ty TNHH MTV Ván dán Vinafor Bắc Giang,Công ty con,Phải thu lãi vay,18.628.895.510,15.184.091.199,,,18628895510.0,15184091199.0
Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty con,Phải thu lãi vay,9.177.846.068,6.441.961.387,,,9177846068.0,6441961387.0
Công ty TNHH MTV Lâm nghiệp Đình Lập,Công ty TNHH MTV Lâm nghiệp Đình Lập,Công ty TNHH MTV Lâm nghiệp Đình Lập,Công ty con,Phải thu lãi vay,5.987.173.714,2.344.758.794,,,5987173714.0,2344758794.0
Công ty TNHH MTV Chế biến gỗ và Đăm gỗ Dung Quát,Công ty TNHH MTV Chế biến gỗ và Đăm gỗ Dung Quát,Công ty TNHH MTV Chế biến gỗ và Đăm gỗ Dung Quát,Công ty con,Phải thu lãi vay,5.535.858.290,4.959.313.084,,,5535858290.0,4959313084.0
Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty con,Phải thu lãi vay,2.096.795.477,1.168.431.097,,,2096795477.0,1168431097.0
Công ty Cổ phần Giống Lâm nghiệp Vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp Vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp Vùng Bắc Bộ,Công ty con,Phải thu lãi vay,402.445.891,326.063.014,,,402445891.0,326063014.0
Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Công ty con,Phải thu lãi vay,54.232.110,329.582.542,,,54232110.0,329582542.0
Công ty Cổ phần Giống Lâm nghiệp Vùng Đông Bắc,Công ty Cổ phần Giống Lâm nghiệp Vùng Đông Bắc,Công ty Cổ phần Giống Lâm nghiệp Vùng Đông Bắc,Công ty con,Phải thu lãi vay,9.986.301,-,,,9986301.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,41.893.233.361,30.754.201.117,,,41893233361.0,30754201117.0
Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),,,,
Công ty TNHH MTV Hợp Tác Lao Đông và Dịch vụ Vinafor,Phải trả người bán ngắn hạn (Thuyết minh số 17.1) > Công ty TNHH MTV Hợp Tác Lao Đông và Dịch vụ Vinafor,Công ty TNHH MTV Hợp Tác Lao Đông và Dịch vụ Vinafor,Công ty con,Phải trả nhận cung cấp dịch vụ,404.996.444,375.196.449,,,404996444.0,375196449.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (Thuyết minh số 17.1) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,404.996.444,375.196.449,,,404996444.0,375196449.0
Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2),,,,
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2) > Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,Công ty con,Ứng trước tiền hàng,5.533.117.600,-,,,5533117600.0,
TỔNG CỘNG,Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.533.117.600,-,,,5533117600.0,
