row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí nhân công,Chi phí bán hàng > Chi phí nhân công,Chi phí nhân công,4.744.324.616,4.483.596.750,4744324616.0,4483596750.0
"Chi phí nguyên liệu, vật liệu","Chi phí bán hàng > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",837.649.239,103.641.760,837649239.0,103641760.0
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,16.748.779.942,9.429.845.891,16748779942.0,9429845891.0
Chi phí khác bằng tiền,Chi phí bán hàng > Chi phí khác bằng tiền,Chi phí khác bằng tiền,2.854.407.050,1.931.603.675,2854407050.0,1931603675.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,25.185.160.847,15.948.688.076,25185160847.0,15948688076.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân công,Chi phí quản lý doanh nghiệp > Chi phí nhân công,Chi phí nhân công,90.748.785.504,87.158.936.251,90748785504.0,87158936251.0
"Chi phí nguyên liệu, vật liệu","Chi phí quản lý doanh nghiệp > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",1.063.797.593,1.068.234.143,1063797593.0,1068234143.0
"Thuế, phí và lệ phí","Chi phí quản lý doanh nghiệp > Thuế, phí và lệ phí","Thuế, phí và lệ phí",4.101.955.091,1.390.971.090,4101955091.0,1390971090.0
"Chi phí khấu hao, hao mòn","Chi phí quản lý doanh nghiệp > Chi phí khấu hao, hao mòn","Chi phí khấu hao, hao mòn",7.076.117.833,6.758.306.925,7076117833.0,6758306925.0
Chi phí đồ dùng văn phòng,Chi phí quản lý doanh nghiệp > Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,1.382.531.530,1.148.849.756,1382531530.0,1148849756.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,21.347.628.244,15.066.886.526,21347628244.0,15066886526.0
Trích lập chi phí dự phòng,Chi phí quản lý doanh nghiệp > Trích lập chi phí dự phòng,Trích lập chi phí dự phòng,4.509.206.255,6.101.018.047,4509206255.0,6101018047.0
Chi phí khác bằng tiền,Chi phí quản lý doanh nghiệp > Chi phí khác bằng tiền,Chi phí khác bằng tiền,36.631.429.886,36.514.077.748,36631429886.0,36514077748.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,166.861.451.936,155.207.280.486,166861451936.0,155207280486.0
