row_label_raw,row_label_full,col_0,Nhà cửa,"Máy móc, thiết bị",Đơn vị tính: VND Tổng cộng,numeric__Nhà cửa,"numeric__Máy móc, thiết bị",numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,167.341.644.075,50.854.067.382,218.195.711.457,167341644075.0,50854067382.0,218195711457.0
- Phân loại lại,Nguyên giá: > - Phân loại lại,- Phân loại lại,-,624.129.524,624.129.524,,624129524.0,624129524.0
- Chuyển từ thành phẩm bất động sản sang,Nguyên giá: > - Chuyển từ thành phẩm bất động sản sang,- Chuyển từ thành phẩm bất động sản sang,13.096.416.842,-,13.096.416.842,13096416842.0,,13096416842.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(204.761.905),(204.761.905),,-204761905.0,-204761905.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,180.438.060.917,51.273.435.001,231.711.495.918,180438060917.0,51273435001.0,231711495918.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,1.722.751.914,50.649.305.477,52.372.057.391,1722751914.0,50649305477.0,52372057391.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,55.287.009.473,50.035.287.086,105.322.296.559,55287009473.0,50035287086.0,105322296559.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,4.865.043.871,963.793.642,5.828.837.513,4865043871.0,963793642.0,5828837513.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(204.761.905),(204.761.905),,-204761905.0,-204761905.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,60.152.053.344,50.794.318.823,110.946.372.167,60152053344.0,50794318823.0,110946372167.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,112.054.634.602,818.780.296,112.873.414.898,112054634602.0,818780296.0,112873414898.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,120.286.007.573,479.116.178,120.765.123.751,120286007573.0,479116178.0,120765123751.0
