row_label_raw,row_label_full,Các khoản giảm trừ,-,-_1,numeric__-,numeric__-_1
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,944.527.677.192,1.003.976.948.228,944527677192.0,1003976948228.0
Trong đó:,Trong đó:,Trong đó:,,,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,584.628.138.709,570.897.974.985,584628138709.0,570897974985.0
Doanh thu đối với các bên liên quan(Thuyết minh số 31),Trong đó: > Doanh thu đối với các bên liên quan(Thuyết minh số 31),Doanh thu đối với các bên liên quan(Thuyết minh số 31),359.899.538.483,433.078.973.243,359899538483.0,433078973243.0
