row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Nhận ký quỹ, ký cược ngắn hạn","Ngắn hạn > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",14.092.779.964,9.502.720.610,14092779964.0,9502720610.0
Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Ngắn hạn > Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,6.929.314.758,6.843.144.499,6929314758.0,6843144499.0
"Kinh phí đo đạc, cắm mốc, cấp giấy chứng nhận quyền sử dụng đất (*)","Ngắn hạn > Kinh phí đo đạc, cắm mốc, cấp giấy chứng nhận quyền sử dụng đất (*)","Kinh phí đo đạc, cắm mốc, cấp giấy chứng nhận quyền sử dụng đất (*)",1.620.147.547,1.620.147.547,1620147547.0,1620147547.0
Phải trả tiền công đội lâm nghiệp,Ngắn hạn > Phải trả tiền công đội lâm nghiệp,Phải trả tiền công đội lâm nghiệp,7.470.192.036,5.935.744.523,7470192036.0,5935744523.0
Phải trả cổ tức,Ngắn hạn > Phải trả cổ tức,Phải trả cổ tức,47.734.035,37.847.100,47734035.0,37847100.0
Phải trả phải nộp khác,Ngắn hạn > Phải trả phải nộp khác,Phải trả phải nộp khác,8.969.373.408,6.610.850.680,8969373408.0,6610850680.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,39.129.541.748,30.550.454.959,39129541748.0,30550454959.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn khác các bên khác,Trong đó: > Phải trả ngắn hạn khác các bên khác,Phải trả ngắn hạn khác các bên khác,39.119.576.636,30.540.489.847,39119576636.0,30540489847.0
Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 31),Trong đó: > Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 31),Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 31),9.965.112,9.965.112,9965112.0,9965112.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Nhận ký quỹ, ký cược dài hạn","Dài hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",13.897.532.767,14.329.332.589,13897532767.0,14329332589.0
Phải trả dài hạn khác cho các bên liên quan,Dài hạn > Phải trả dài hạn khác cho các bên liên quan,Phải trả dài hạn khác cho các bên liên quan,1.215.535.680,1.215.535.680,1215535680.0,1215535680.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,15.113.068.447,15.544.868.269,15113068447.0,15544868269.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn khác các bên khác,Trong đó: > Phải trả dài hạn khác các bên khác,Phải trả dài hạn khác các bên khác,13.897.532.767,14.329.332.589,13897532767.0,14329332589.0
Phải trả dài hạn khác cho các bên liên quan (Thuyết minh số 31),Trong đó: > Phải trả dài hạn khác cho các bên liên quan (Thuyết minh số 31),Phải trả dài hạn khác cho các bên liên quan (Thuyết minh số 31),1.215.535.680,1.215.535.680,1215535680.0,1215535680.0
