row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp/ cán trừ trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp/ cán trừ trong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,593.920.042,19.704.221.565,(17.342.215.124),2.955.926.483,593920042.0,19704221565.0,-17342215124.0,2955926483.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,5.259.726.927,14.141.156.167,(19.401.083.094),(200.000),5259726927.0,14141156167.0,-19401083094.0,-200000.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.182.494.454,13.826.040.918,(14.032.028.219),976.507.153,1182494454.0,13826040918.0,-14032028219.0,976507153.0
"Thuế nhà đất, tiền thuê đất","Phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,10.726.007.999,(10.726.007.999),-,,10726007999.0,-10726007999.0,
"Các khoản phí, lệ phí khác","Phải nộp > Các khoản phí, lệ phí khác","Các khoản phí, lệ phí khác",1.674.000,196.422.217,(196.422.217),1.674.000,1674000.0,196422217.0,-196422217.0,1674000.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,7.037.815.423,58.593.848.866,(61.697.756.653),3.933.907.636,7037815423.0,58593848866.0,-61697756653.0,3933907636.0
,,,Số đầu năm,Số phải thu trong năm,Số đã cán trừ trong năm,Đơn vị tính: VND,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,1.117.568.495,-,1.117.568.495,,1117568495.0,,1117568495.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,116.690.910,-,116.690.910,,116690910.0,,116690910.0
"Thuế nhà đất, tiền thuê đất","Phải thu > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",3.164.544.274,-,(3.144.544.174),20.000.100,3164544274.0,,-3144544174.0,20000100.0
"Các khoản thuế, phí và lệ phí khác","Phải thu > Các khoản thuế, phí và lệ phí khác","Các khoản thuế, phí và lệ phí khác",218,8.000.320,-,8.000.538,218.0,8000320.0,,8000538.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,3.164.544.492,1.242.259.725,(3.144.544.174),1.262.260.043,3164544492.0,1242259725.0,-3144544174.0,1262260043.0
