row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Nhà cửa, vật kiến trúc",Cộng,numeric__Quyền sử dụng đất,"numeric__Nhà cửa, vật kiến trúc",numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,71.280.104.730,50.892.328.692,122.172.433.422,71280104730.0,50892328692.0,122172433422.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,71.280.104.730,50.892.328.692,122.172.433.422,71280104730.0,50892328692.0,122172433422.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết nhưng vẫn còn sử dụng,Trong đó: > Đã khấu hao hết nhưng vẫn còn sử dụng,Đã khấu hao hết nhưng vẫn còn sử dụng,-,6.187.542.786,6.187.542.786,,6187542786.0,6187542786.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,-,13.236.791.197,13.236.791.197,,13236791197.0,13236791197.0
Khẩu hao trong năm,Giá trị hao mòn > Khẩu hao trong năm,Khẩu hao trong năm,-,1.073.473.020,1.073.473.020,,1073473020.0,1073473020.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,-,14.310.264.217,14.310.264.217,,14310264217.0,14310264217.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,71.280.104.730,37.655.537.495,108.935.642.225,71280104730.0,37655537495.0,108935642225.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,71.280.104.730,36.582.064.475,107.862.169.205,71280104730.0,36582064475.0,107862169205.0
