row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B -,B -,B -,TÀI SẢN DÀI HẠN,200,,2.089.073.339.476,2.306.657.414.170,,200.0,,2089073339476.0,2306657414170.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,4.525.200.000,1.888.200.000,,210.0,,4525200000.0,1888200000.0
1.,1.,1.,Phải thu dài hạn của khách hàng,211,,-,-,,211.0,,,
2.,2.,2.,Trả trước cho người bán dài hạn,212,,-,-,,212.0,,,
3.,3.,3.,Vốn kinh doanh ở đơn vị trực thuộc,213,,-,-,,213.0,,,
4.,4.,4.,Phải thu nội bộ dài hạn,214,,-,-,,214.0,,,
5.,5.,5.,Phải thu về cho vay dài hạn,215,,-,-,,215.0,,,
6.,6.,6.,Phải thu dài hạn khác,216,V.6b,4.525.200.000,1.888.200.000,,216.0,,4525200000.0,1888200000.0
7.,7.,7.,Dự phòng phải thu dài hạn khó đòi,219,,-,-,,219.0,,,
II.,II.,II.,Tài sản cố định,220,,621.439.971.578,642.144.959.233,,220.0,,621439971578.0,642144959233.0
1.,1.,1.,Tài sản cố định hữu hình,221,V.10,501.852.694.508,523.007.934.939,,221.0,,501852694508.0,523007934939.0
,,,Nguyên giá,222,,1.273.110.972.113,1.246.286.030.281,,222.0,,1273110972113.0,1246286030281.0
,,,Giá trị hao mòn lũy kế,223,,(771.258.277.605),(723.278.095.342),,223.0,,-771258277605.0,-723278095342.0
2.,2.,2.,Tài sản cố định thuê tài chính,224,V.11,18.082.442.189,20.619.306.398,,224.0,,18082442189.0,20619306398.0
,,,Nguyên giá,225,,22.876.854.258,20.968.786.167,,225.0,,22876854258.0,20968786167.0
,,,Giá trị hao mòn lũy kế,226,,(4.794.412.069),(349.479.769),,226.0,,-4794412069.0,-349479769.0
3.,3.,3.,Tài sản cố định vô hình,227,V.12,101.504.834.881,98.517.717.896,,227.0,,101504834881.0,98517717896.0
,,,Nguyên giá,228,,116.841.653.647,111.623.299.897,,228.0,,116841653647.0,111623299897.0
,,,Giá trị hao mòn lũy kế,229,,(15.336.818.766),(13.105.582.001),,229.0,,-15336818766.0,-13105582001.0
III.,III.,III.,Bất động sản đầu tư,230,V.13,107.862.169.205,108.935.642.225,,230.0,,107862169205.0,108935642225.0
,,,Nguyên giá,231,,122.172.433.422,122.172.433.422,,231.0,,122172433422.0,122172433422.0
,,,Giá trị hao mòn lũy kế,232,,(14.310.264.217),(13.236.791.197),,232.0,,-14310264217.0,-13236791197.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,438.277.035.121,222.646.192.931,,240.0,,438277035121.0,222646192931.0
1.,1.,1.,"Chi phí sản xuất, kinh doanh dở dang dài hạn",241,V.14,9.803.484.484,10.124.764.609,,241.0,,9803484484.0,10124764609.0
2.,2.,2.,Chi phí xây dựng cơ bản dở dang,242,V.15,428.473.550.637,212.521.428.322,,242.0,,428473550637.0,212521428322.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,,367.784.269.248,707.856.564.950,,250.0,,367784269248.0,707856564950.0
1.,1.,1.,Đầu tư vào công ty con,251,,-,-,,251.0,,,
2.,2.,2.,"Đầu tư vào công ty liên doanh, liên kết",252,V.2c,299.452.057.998,639.524.353.700,,252.0,,299452057998.0,639524353700.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,V.2d,68.332.211.250,68.332.211.250,,253.0,,68332211250.0,68332211250.0
4.,4.,4.,Dự phòng đầu tư tài chính dài hạn,254,,-,-,,254.0,,,
5.,5.,5.,Đầu tư nằm giữ đến ngày đáo hạn,255,,-,-,,255.0,,,
VI.,VI.,VI.,Tài sản dài hạn khác,260,,549.184.694.324,623.185.854.831,,260.0,,549184694324.0,623185854831.0
1.,1.,1.,Chi phí trả trước dài hạn,261,V.9b,52.228.889.995,43.205.547.879,,261.0,,52228889995.0,43205547879.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,V.24a,5.145.010.093,6.204.085.258,,262.0,,5145010093.0,6204085258.0
3.,3.,3.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,-,-,,263.0,,,
4.,4.,4.,Tài sản dài hạn khác,268,,-,-,,268.0,,,
5.,5.,5.,Lợi thế thương mại,269,V.16,491.810.794.236,573.776.221.694,,269.0,,491810794236.0,573776221694.0
,,,TỔNG CỘNG TÀI SẢN,270,,7.721.553.529.302,6.997.712.255.913,,270.0,,7721553529302.0,6997712255913.0
