row_label_raw,row_label_full,col_0,Công ty Cổ phần FIT Comestics,Công ty Cổ phần Cap Padaran Mũi Dinh,Cộng,numeric__Công ty Cổ phần FIT Comestics,numeric__Công ty Cổ phần Cap Padaran Mũi Dinh,numeric__Cộng
Giá trị phần sở hữu đầu năm,Giá trị phần sở hữu đầu năm,Giá trị phần sở hữu đầu năm,312.058.150.893,327.466.202.807,639.524.353.700,312058150893.0,327466202807.0,639524353700.0
Phần lãi hoặc lỗ trong năm,Phần lãi hoặc lỗ trong năm,Phần lãi hoặc lỗ trong năm,(12.606.092.895),338.978.338,(12.267.114.557),-12606092895.0,338978338.0,-12267114557.0
Giá trị khoản đầu tư thêm trong năm,Giá trị khoản đầu tư thêm trong năm,Giá trị khoản đầu tư thêm trong năm,-,207.000.000.000,207.000.000.000,,207000000000.0,207000000000.0
Giá trị khoản đầu tư chuyển nhượng trong năm,Giá trị khoản đầu tư chuyển nhượng trong năm,Giá trị khoản đầu tư chuyển nhượng trong năm,-,(534.805.181.145),(534.805.181.145),,-534805181145.0,-534805181145.0
Giá trị phần sở hữu cuối năm,Giá trị phần sở hữu cuối năm,Giá trị phần sở hữu cuối năm,299.452.057.998,-,299.452.057.998,299452057998.0,,299452057998.0
