row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
Phải thu bên liên quan,Phải thu bên liên quan,Phải thu bên liên quan,-,-,116.388.395,(81.471.876),,,116388395.0,-81471876.0
Công ty Cổ phần Fit Cosmetics,Công ty Cổ phần Fit Cosmetics,Công ty Cổ phần Fit Cosmetics,-,-,116.388.395,(81.471.876),,,116388395.0,-81471876.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,56.088.403.581,(52.520.835.397),152.759.080.613,(96.029.626.422),56088403581.0,-52520835397.0,152759080613.0,-96029626422.0
DNTN Trung Đông,DNTN Trung Đông,DNTN Trung Đông,3.520.000.000,(3.520.000.000),3.520.000.000,(3.520.000.000),3520000000.0,-3520000000.0,3520000000.0,-3520000000.0
Maxwill (Asia) Pte Ltd,Maxwill (Asia) Pte Ltd,Maxwill (Asia) Pte Ltd,3.508.884.959,(3.508.884.959),3.508.884.959,(3.508.884.959),3508884959.0,-3508884959.0,3508884959.0,-3508884959.0
Công ty Cổ phần Phát triển Thương mại SJ,Công ty Cổ phần Phát triển Thương mại SJ,Công ty Cổ phần Phát triển Thương mại SJ,-,-,51.721.740.000,(14.016.266.460),,,51721740000.0,-14016266460.0
Công ty TNHH Dược Phẩm Thiên Sơn,Công ty TNHH Dược Phẩm Thiên Sơn,Công ty TNHH Dược Phẩm Thiên Sơn,-,-,16.428.897.499,(16.428.897.499),,,16428897499.0,-16428897499.0
Công ty TNHH Dược Phẩm Hải Tâm,Công ty TNHH Dược Phẩm Hải Tâm,Công ty TNHH Dược Phẩm Hải Tâm,-,-,4.976.554.629,(4.976.554.629),,,4976554629.0,-4976554629.0
MEDICAL SUPPLY Pharm Enterprise,MEDICAL SUPPLY Pharm Enterprise,MEDICAL SUPPLY Pharm Enterprise,-,-,3.303.752.851,(3.303.752.851),,,3303752851.0,-3303752851.0
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,49.059.518.622,(45.491.950.438),69.299.250.675,(50.275.270.024),49059518622.0,-45491950438.0,69299250675.0,-50275270024.0
Phải thu khác,Phải thu khác,Phải thu khác,9.465.473.698,(9.465.473.698),9.538.465.305,(9.538.465.305),9465473698.0,-9465473698.0,9538465305.0,-9538465305.0
Ông Đỗ Văn Tâm,Ông Đỗ Văn Tâm,Ông Đỗ Văn Tâm,3.500.000.000,(3.500.000.000),3.500.000.000,(3.500.000.000),3500000000.0,-3500000000.0,3500000000.0,-3500000000.0
Phải thu tiền tạm ứng,Phải thu tiền tạm ứng,Phải thu tiền tạm ứng,689.833.740,(689.833.740),631.890.415,(631.890.415),689833740.0,-689833740.0,631890415.0,-631890415.0
Phải thu các khoản chỉ hộ,Phải thu các khoản chỉ hộ,Phải thu các khoản chỉ hộ,4.349.490.202,(4.349.490.202),3.717.599.787,(3.717.599.787),4349490202.0,-4349490202.0,3717599787.0,-3717599787.0
Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,926.149.756,(926.149.756),1.688.975.103,(1.688.975.103),926149756.0,-926149756.0,1688975103.0,-1688975103.0
