row_label_raw,row_label_full,Số đầu năm > Trích lập/(hoàn nhập) dự phòng trong năm,Năm nay > 112.602.033.639 > (11.808.809.665),Năm trước > 90.885.891.431 > 22.077.516.657,numeric__Năm nay > 112.602.033.639 > (11.808.809.665),numeric__Năm trước > 90.885.891.431 > 22.077.516.657
Sử dụng dự phòng để xóa nợ,Sử dụng dự phòng để xóa nợ,Sử dụng dự phòng để xóa nợ,(31.854.444.843),(361.374.449),-31854444843.0,-361374449.0
Số cuối năm,Số cuối năm,Số cuối năm,68.938.779.131,112.602.033.639,68938779131.0,112602033639.0
