row_label_raw,row_label_full,col_0,Vay dài hạn Ngân hàng,Nợ thuê tài chính,Cộng,numeric__Vay dài hạn Ngân hàng,numeric__Nợ thuê tài chính,numeric__Cộng
Số đầu năm,Số đầu năm,Số đầu năm,146.654.686.995,14.319.920.000,160.974.606.995,146654686995.0,14319920000.0,160974606995.0
Số tiền vay phát sinh,Số tiền vay phát sinh,Số tiền vay phát sinh,32.612.060.689,114.034.880.000,146.646.940.689,32612060689.0,114034880000.0,146646940689.0
Số tiền vay đã trả,Số tiền vay đã trả,Số tiền vay đã trả,-,(8.740.615.760),(8.740.615.760),,-8740615760.0,-8740615760.0
Kết chuyển sang vay và nợ ngắn hạn,Kết chuyển sang vay và nợ ngắn hạn,Kết chuyển sang vay và nợ ngắn hạn,(57.303.355.004),(20.758.283.640),(78.061.638.644),-57303355004.0,-20758283640.0,-78061638644.0
Số cuối năm,Số cuối năm,Số cuối năm,121.963.392.680,98.855.900.600,220.819.293.280,121963392680.0,98855900600.0,220819293280.0
