row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Đơn vị tính: VND Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị tính: VND Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,1.774.922.351.603,1.952.147.705.469,,1.0,,1774922351603.0,1952147705469.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,VI.2,29.154.717.054,34.938.161.041,,2.0,,29154717054.0,34938161041.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,1.745.767.634.549,1.917.209.544.428,,10.0,,1745767634549.0,1917209544428.0
4.,4.,4.,Giá vốn hàng bán,11,VI.3,1.397.449.110.731,1.458.235.418.289,,11.0,,1397449110731.0,1458235418289.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,348.318.523.818,458.974.126.139,,20.0,,348318523818.0,458974126139.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,VI.4,224.570.492.615,220.002.945.181,,21.0,,224570492615.0,220002945181.0
7.,7.,7.,Chi phí tài chính,22,VI.5,256.828.269.033,105.879.229.879,,22.0,,256828269033.0,105879229879.0
7.,7.,7.,Trong đó: chi phí lãi vay,23,,68.807.184.388,59.162.043.989,,23.0,,68807184388.0,59162043989.0
8.,8.,8.,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,(12.267.114.557),(9.897.494.732),,24.0,,-12267114557.0,-9897494732.0
9.,9.,9.,Chi phí bán hàng,25,VI.6,128.329.960.235,220.922.946.690,,25.0,,128329960235.0,220922946690.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,VI.7,192.636.130.792,230.772.885.147,,26.0,,192636130792.0,230772885147.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,(17.172.458.184),111.504.514.872,,30.0,,-17172458184.0,111504514872.0
12.,12.,12.,Thu nhập khác,31,,3.909.778.546,7.256.647.058,,31.0,,3909778546.0,7256647058.0
13.,13.,13.,Chi phí khác,32,,2.600.567.368,2.986.204.508,,32.0,,2600567368.0,2986204508.0
14.,14.,14.,Lợi nhuận khác,40,,1.309.211.178,4.270.442.550,,40.0,,1309211178.0,4270442550.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế,50,,(15.863.247.006),115.774.957.422,,50.0,,-15863247006.0,115774957422.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,,32.711.079.711,44.274.559.798,,51.0,,32711079711.0,44274559798.0
17.,17.,17.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,29.050.166.967,(104.004.728),,52.0,,29050166967.0,-104004728.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,(77.624.493.684),71.604.402.352,,60.0,,-77624493684.0,71604402352.0
19.,19.,19.,Lợi nhuận sau thuế của công ty mẹ,61,,(114.937.673.400),48.289.456.878,,61.0,,-114937673400.0,48289456878.0
20.,20.,20.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,37.313.179.716,23.314.945.474,,62.0,,37313179716.0,23314945474.0
21.,21.,21.,Lãi cơ bản trên cổ phiếu,70,VI.8,(338),152,,70.0,,-338.0,152.0
22.,22.,22.,Lãi suy giảm trên cổ phiếu,71,VI.8,(338),152,,71.0,,-338.0,152.0
