row_label_raw,row_label_full,col_0,Số đầu năm,Chi phí phát sinh trong năm,Kết chuyên vào TSCĐ trong năm,Kết chuyên giám khác,Số cuối năm,numeric__Số đầu năm,numeric__Chi phí phát sinh trong năm,numeric__Kết chuyên vào TSCĐ trong năm,numeric__Kết chuyên giám khác,numeric__Số cuối năm
Mua sắm tài sản cố định,Mua sắm tài sản cố định,Mua sắm tài sản cố định,3.294.730.896,16.597.278.168,(18.059.765.479),-,1.832.243.585,3294730896.0,16597278168.0,-18059765479.0,,1832243585.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,209.226.697.426,223.864.922.909,(6.328.946.283),(121.367.000),426.641.307.052,209226697426.0,223864922909.0,-6328946283.0,-121367000.0,426641307052.0
Dự án Đầu tư Nhà máy tại Hậu Giang (i),Dự án Đầu tư Nhà máy tại Hậu Giang (i),Dự án Đầu tư Nhà máy tại Hậu Giang (i),4.888.387.833,5.227.268.542,-,-,10.115.656.375,4888387833.0,5227268542.0,,,10115656375.0
Dự án Công trình Nhà máy Vikimco (ii),Dự án Công trình Nhà máy Vikimco (ii),Dự án Công trình Nhà máy Vikimco (ii),40.188.809.795,43.411.287.569,-,(121.367.000),83.478.730.364,40188809795.0,43411287569.0,,-121367000.0,83478730364.0
Dự án Công trình Nhà máy tại Long An (iii),Dự án Công trình Nhà máy tại Long An (iii),Dự án Công trình Nhà máy tại Long An (iii),158.335.290.932,18.596.203.735,-,-,176.931.494.667,158335290932.0,18596203735.0,,,176931494667.0
Dự án dây chuyển Capsule 5 (iv),Dự án dây chuyển Capsule 5 (iv),Dự án dây chuyển Capsule 5 (iv),-,133.711.474.969,-,-,133.711.474.969,,133711474969.0,,,133711474969.0
Dự án xây dựng Tổng kho và tòa nhà RD,Dự án xây dựng Tổng kho và tòa nhà RD,Dự án xây dựng Tổng kho và tòa nhà RD,187.922.001,16.589.741.811,-,-,16.777.663.812,187922001.0,16589741811.0,,,16777663812.0
Các dự án khác,Các dự án khác,Các dự án khác,5.626.286.865,6.328.946.283,(6.328.946.283),-,5.626.286.865,5626286865.0,6328946283.0,-6328946283.0,,5626286865.0
Cộng,Cộng,Cộng,212.521.428.322,240.462.201.077,(24.388.711.762),(121.367.000),428.473.550.637,212521428322.0,240462201077.0,-24388711762.0,-121367000.0,428473550637.0
