row_label_raw,row_label_full,Công ty Cổ phần Đầu tư Thương mại Hoa Sen Việt Nam,Số cuối năm > -,Số đầu năm > 35.076.789.032,numeric__Số cuối năm > -,numeric__Số đầu năm > 35.076.789.032
Công ty TNHH Akums Drugs And Pharmaceuticals,Công ty TNHH Akums Drugs And Pharmaceuticals,Công ty TNHH Akums Drugs And Pharmaceuticals,2.509.226.940,11.481.898.135,2509226940.0,11481898135.0
Công ty Cổ phần Xuất nhập khẩu Y tế Domesco,Công ty Cổ phần Xuất nhập khẩu Y tế Domesco,Công ty Cổ phần Xuất nhập khẩu Y tế Domesco,9.982.165.208,19.660.806.813,9982165208.0,19660806813.0
Công ty TNHH Thiết bị lạnh và Cách nhiệt TST,Công ty TNHH Thiết bị lạnh và Cách nhiệt TST,Công ty TNHH Thiết bị lạnh và Cách nhiệt TST,12.875.280.000,-,12875280000.0,
Công ty TNHH Cơ nhiệt Điện lạnh Bách Khoa,Công ty TNHH Cơ nhiệt Điện lạnh Bách Khoa,Công ty TNHH Cơ nhiệt Điện lạnh Bách Khoa,27.202.110.644,177.276.000,27202110644.0,177276000.0
Công ty Cổ phần Confitech Cửu Long,Công ty Cổ phần Confitech Cửu Long,Công ty Cổ phần Confitech Cửu Long,7.250.000.000,9.250.000.000,7250000000.0,9250000000.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,37.885.223.133,45.627.375.018,37885223133.0,45627375018.0
Cộng,Cộng,Cộng,97.704.005.925,121.274.144.998,97704005925.0,121274144998.0
