row_label_raw,row_label_full,Số cuối năm,Miền Bắc > Số cuối năm,Miền Nam > Số cuối năm,Loại trừ > Số cuối năm,Tổng Cộng > Số cuối năm,numeric__Miền Bắc > Số cuối năm,numeric__Miền Nam > Số cuối năm,numeric__Loại trừ > Số cuối năm,numeric__Tổng Cộng > Số cuối năm
Tài sản,Tài sản,Tài sản,,,,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,5.553.819.034.046,5.252.047.882.358,(3.084.313.387.102),7.721.553.529.302,5553819034046.0,5252047882358.0,-3084313387102.0,7721553529302.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,,,,7.721.553.529.302,,,,7721553529302.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ phải trả bộ phận,Nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,815.087.902.475,1.314.894.725.544,(195.370.225.951),1.934.612.402.068,815087902475.0,1314894725544.0,-195370225951.0,1934612402068.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,1.934.612.402.068,,,,1934612402068.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,6.097.799.544.918,4.829.059.788.633,(3.929.147.077.638),6.997.712.255.913,6097799544918.0,4829059788633.0,-3929147077638.0,6997712255913.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,,,,6.997.712.255.913,,,,6997712255913.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ phải trả bộ phận,Nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.152.497.850.928,939.840.813.089,(959.192.029.021),1.133.146.634.996,1152497850928.0,939840813089.0,-959192029021.0,1133146634996.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,1.133.146.634.996,,,,1133146634996.0
,,,Miền Bắc,Miền Nam,Loại trừ,Tổng Cộng,,,,
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Doanh thu thuần bán hàng ra bên ngoài,Năm nay > Doanh thu thuần bán hàng ra bên ngoài,Doanh thu thuần bán hàng ra bên ngoài,127.184.459.801,1.618.583.174.748,-,1.745.767.634.549,127184459801.0,1618583174748.0,,1745767634549.0
Doanh thu thuần bán hàng cho các bộ phận khác,Năm nay > Doanh thu thuần bán hàng cho các bộ phận khác,Doanh thu thuần bán hàng cho các bộ phận khác,19.274.714.109,268.952.635,(19.543.666.744),-,19274714109.0,268952635.0,-19543666744.0,
Tổng doanh thu,Năm nay > Tổng doanh thu,Tổng doanh thu,146.459.173.910,1.618.852.127.383,(19.543.666.744),1.745.767.634.549,146459173910.0,1618852127383.0,-19543666744.0,1745767634549.0
Giá vốn,Năm nay > Giá vốn,Giá vốn,91.088.195.978,1.318.372.445.117,(12.011.530.364),1.397.449.110.731,91088195978.0,1318372445117.0,-12011530364.0,1397449110731.0
Lợi nhuận gộp,Năm nay > Lợi nhuận gộp,Lợi nhuận gộp,55.370.977.932,300.479.682.266,(7.532.136.380),348.318.523.818,55370977932.0,300479682266.0,-7532136380.0,348318523818.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Năm nay > Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",338.978.338,(12.606.092.895),-,(12.267.114.557),338978338.0,-12606092895.0,,-12267114557.0
