row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích của Cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của Cổ đông không kiểm soát,numeric__Cộng
- Ảnh hưởng của việc VPC mua lại cổ phần của NCI tại Benovas on,- Ảnh hưởng của việc VPC mua lại cổ phần của NCI tại Benovas on,- Ảnh hưởng của việc VPC mua lại cổ phần của NCI tại Benovas on,-,-,-,-,(1.787.531.612),(35.912.468.388),(37.700.000.000),,,,,-1787531612.0,-35912468388.0,-37700000000.0
- Ảnh hưởng do thay đổi tỷ lệ sở hữu tại Fitland,- Ảnh hưởng do thay đổi tỷ lệ sở hữu tại Fitland,- Ảnh hưởng do thay đổi tỷ lệ sở hữu tại Fitland,-,-,-,-,2.145.286,(2.145.286),-,,,,,2145286.0,-2145286.0,
Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,-,-,-,-,48.289.456.878,23.314.945.474,71.604.402.352,,,,,48289456878.0,23314945474.0,71604402352.0
Trích lập các quỹ tại Công ty con,Trích lập các quỹ tại Công ty con,Trích lập các quỹ tại Công ty con,-,-,-,-,(1.521.858.717),(1.394.508.559),(2.916.367.276),,,,,-1521858717.0,-1394508559.0,-2916367276.0
Chia cổ tức ở Công ty con,Chia cổ tức ở Công ty con,Chia cổ tức ở Công ty con,-,-,-,-,-,(5.238.455.320),(5.238.455.320),,,,,,-5238455320.0,-5238455320.0
Số dư tại 31/12/2022,Số dư tại 31/12/2022,Số dư tại 31/12/2022,3.399.330.340.000,74.895.160.642,80.481.887.391,646.388.781,293.405.349.182,2.015.806.494.922,5.864.565.620.918,3399330340000.0,74895160642.0,80481887391.0,646388781.0,293405349182.0,2015806494922.0,5864565620918.0
Số dư tại 01/01/2023,Số dư tại 01/01/2023,Số dư tại 01/01/2023,3.399.330.340.000,74.895.160.642,80.481.887.391,646.388.781,293.405.349.182,2.015.806.494.922,5.864.565.620.918,3399330340000.0,74895160642.0,80481887391.0,646388781.0,293405349182.0,2015806494922.0,5864565620918.0
Cổ đông không kiểm soát tại Công ty con góp thêm vốn,Cổ đông không kiểm soát tại Công ty con góp thêm vốn,Cổ đông không kiểm soát tại Công ty con góp thêm vốn,-,-,-,-,-,3.000.000.000,3.000.000.000,,,,,,3000000000.0,3000000000.0
Ảnh hưởng do thay đổi tỷ lệ sở hữu tại Charlotte,Ảnh hưởng do thay đổi tỷ lệ sở hữu tại Charlotte,Ảnh hưởng do thay đổi tỷ lệ sở hữu tại Charlotte,-,-,-,-,226.628,(226.628),-,,,,,226628.0,-226628.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,(114.937.673.400),37.313.179.716,(77.624.493.684),,,,,-114937673400.0,37313179716.0,-77624493684.0
Trích lập các quỹ tại Công ty con,Trích lập các quỹ tại Công ty con,Trích lập các quỹ tại Công ty con,,,,,(1.741.594.389),(1.258.405.611),(3.000.000.000),,,,,-1741594389.0,-1258405611.0,-3000000000.0
Số dư tại 31/12/2023,Số dư tại 31/12/2023,Số dư tại 31/12/2023,3.399.330.340.000,74.895.160.642,80.481.887.391,646.388.781,176.726.308.021,2.054.861.042.399,5.786.941.127.234,3399330340000.0,74895160642.0,80481887391.0,646388781.0,176726308021.0,2054861042399.0,5786941127234.0
