row_label_raw,row_label_full,Số cuối năm,Tổng cộng > Số cuối năm,Từ 1 năm trở xuống > Số cuối năm,Trên 1 năm đến 5 năm > Số cuối năm,numeric__Tổng cộng > Số cuối năm,numeric__Từ 1 năm trở xuống > Số cuối năm,numeric__Trên 1 năm đến 5 năm > Số cuối năm
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,177.245.476.684,55.282.084.004,121.963.392.680,177245476684.0,55282084004.0,121963392680.0
Nợ thuê tài chính,Nợ thuê tài chính,Nợ thuê tài chính,119.614.184.240,20.758.283.640,98.855.900.600,119614184240.0,20758283640.0,98855900600.0
Cộng,Cộng,Cộng,296.859.660.924,76.040.367.644,220.819.293.280,296859660924.0,76040367644.0,220819293280.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Vay ngân hàng,Số đầu năm > Vay ngân hàng,Vay ngân hàng,209.402.460.882,62.747.773.887,146.654.686.995,209402460882.0,62747773887.0,146654686995.0
Nợ thuê tài chính,Số đầu năm > Nợ thuê tài chính,Nợ thuê tài chính,17.900.000.000,3.580.080.000,14.319.920.000,17900000000.0,3580080000.0,14319920000.0
Cộng,Số đầu năm > Cộng,Cộng,227.302.460.882,66.327.853.887,160.974.606.995,227302460882.0,66327853887.0,160974606995.0
