row_label_raw,row_label_full,Loại tài sản cố định,Số năm,numeric__Số năm
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",25,25.0
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",04 – 08,
Phương tiện vận chuyển,Phương tiện vận chuyển,Phương tiện vận chuyển,05 – 06,
"Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý",02 – 05,
Tài sản cố định khác,Tài sản cố định khác,Tài sản cố định khác,04 – 06,
