row_label_raw,row_label_full,col_0,Dự phòng chung,numeric__Dự phòng chung
Năm nay,Năm nay,Năm nay,Năm nay,
Số đầu năm nay,Năm nay > Số đầu năm nay,Số đầu năm nay,(1.350),-1350.0
Dự phòng rủi ro hoàn nhập trong năm nay,Năm nay > Dự phòng rủi ro hoàn nhập trong năm nay,Dự phòng rủi ro hoàn nhập trong năm nay,1350,1350.0
Số cuối năm nay,Số cuối năm nay,Số cuối năm nay,-,
Năm trước,Năm trước,Năm trước,Năm trước,
Số đầu năm trước,Số đầu năm trước,Số đầu năm trước,-,
Dự phòng rủi ro (trích lập) trong năm trước,Số đầu năm trước > Dự phòng rủi ro (trích lập) trong năm trước,Dự phòng rủi ro (trích lập) trong năm trước,(1.350),-1350.0
Số cuối năm trước,Số đầu năm trước > Số cuối năm trước,Số cuối năm trước,(1.350),-1350.0
