row_label_raw,row_label_full,Số cuối năm,Tổng giá trị hợp đồng (theo tỷ giá hối đoái tại ngày hiệu lực hợp đồng) > Số cuối năm,Tổng giá trị ghi sổ (theo tỷ giá hối đoái tại ngày cuối năm) > Số cuối năm,numeric__Tổng giá trị hợp đồng (theo tỷ giá hối đoái tại ngày hiệu lực hợp đồng) > Số cuối năm,numeric__Tổng giá trị ghi sổ (theo tỷ giá hối đoái tại ngày cuối năm) > Số cuối năm
Công cụ tài chính phải sinh tiền tệ (Giao dịch hoán đổi tiền tệ),Công cụ tài chính phải sinh tiền tệ (Giao dịch hoán đổi tiền tệ),Công cụ tài chính phải sinh tiền tệ (Giao dịch hoán đổi tiền tệ),3.243.385,6.585,3243385.0,6585.0
Cộng,Cộng,Cộng,3.243.385,6.585,3243385.0,6585.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,
Công cụ tài chính phải sinh tiền tệ (Giao dịch hoán đổi tiền tệ),Số đầu năm > Công cụ tài chính phải sinh tiền tệ (Giao dịch hoán đổi tiền tệ),Công cụ tài chính phải sinh tiền tệ (Giao dịch hoán đổi tiền tệ),926.800,668,926800.0,668.0
Cộng,Số đầu năm > Cộng,Cộng,926.800,668,926800.0,668.0
