row_label_raw,row_label_full,Thuyết minh theo loại tiên gửi,Thuyết minh theo loại tiên gửi > Số cuối năm,Thuyết minh theo loại tiên gửi > Số đầu năm,numeric__Thuyết minh theo loại tiên gửi > Số cuối năm,numeric__Thuyết minh theo loại tiên gửi > Số đầu năm
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,1.960.414,1.725.905,1960414.0,1725905.0
Bằng VND,Bằng VND,Bằng VND,1.712.825,1.510.522,1712825.0,1510522.0
Bằng vàng và ngoại tệ,Bằng vàng và ngoại tệ,Bằng vàng và ngoại tệ,247.589,215.383,247589.0,215383.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,4.569.773,3.768.864,4569773.0,3768864.0
Bằng VND,Bằng VND,Bằng VND,4.558.213,3.757.279,4558213.0,3757279.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,11.560,11.585,11560.0,11585.0
Tiền gửi tiết kiệm không kỳ hạn,Tiền gửi tiết kiệm không kỳ hạn,Tiền gửi tiết kiệm không kỳ hạn,11.703,11.296,11703.0,11296.0
Bằng VND,Bằng VND,Bằng VND,1.885,2.148,1885.0,2148.0
Bằng vàng và ngoại tệ,Bằng vàng và ngoại tệ,Bằng vàng và ngoại tệ,9.818,9.148,9818.0,9148.0
Tiền gửi tiết kiệm có kỳ hạn,Tiền gửi tiết kiệm có kỳ hạn,Tiền gửi tiết kiệm có kỳ hạn,11.658.722,10.143.283,11658722.0,10143283.0
Bằng VND,Bằng VND,Bằng VND,11.534.221,9.996.424,11534221.0,9996424.0
Bằng vàng và ngoại tệ,Bằng vàng và ngoại tệ,Bằng vàng và ngoại tệ,124.501,146.859,124501.0,146859.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,4.055,149,4055.0,149.0
Tiền ký quỹ,Tiền ký quỹ,Tiền ký quỹ,18.967,18.261,18967.0,18261.0
Bằng VND,Bằng VND,Bằng VND,18.579,18.147,18579.0,18147.0
Bằng vàng và ngoại tệ,Bằng vàng và ngoại tệ,Bằng vàng và ngoại tệ,388,114,388.0,114.0
Cộng,Cộng,Cộng,18.223.634,15.667.758,18223634.0,15667758.0
