row_label_raw,row_label_full,Mức rủi ro tín dụng của các tài khoản thuộcBăng cân đối kế toán hợp nhất,Số cuối năm > Mức rủi ro tín dụng của các tài khoản thuộcBăng cân đối kế toán hợp nhất,Số đầu năm > Mức rủi ro tín dụng của các tài khoản thuộcBăng cân đối kế toán hợp nhất,numeric__Số cuối năm > Mức rủi ro tín dụng của các tài khoản thuộcBăng cân đối kế toán hợp nhất,numeric__Số đầu năm > Mức rủi ro tín dụng của các tài khoản thuộcBăng cân đối kế toán hợp nhất
Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,560.297,784.793,560297.0,784793.0
Tiền gửi và cho vay tại các TCTD khác,Tiền gửi và cho vay tại các TCTD khác,Tiền gửi và cho vay tại các TCTD khác,5.739.507,4.969.986,5739507.0,4969986.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,15.447.550,14.556.951,15447550.0,14556951.0
Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,752.229,1.050.857,752229.0,1050857.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",193.723,206.806,193723.0,206806.0
Các tài sản tài chính khác – gộp,Các tài sản tài chính khác – gộp,Các tài sản tài chính khác – gộp,67.535,29.979,67535.0,29979.0
Cộng,Cộng,Cộng,22.760.841,21.599.372,22760841.0,21599372.0
Mức độ rủi ro tín dụng của các tài khoản ngoại bằng,Mức độ rủi ro tín dụng của các tài khoản ngoại bằng,Mức độ rủi ro tín dụng của các tài khoản ngoại bằng,Mức độ rủi ro tín dụng của các tài khoản ngoại bằng,Mức độ rủi ro tín dụng của các tài khoản ngoại bằng,,
Cam kết trong nghiệp vụ L/C – gộp,Mức độ rủi ro tín dụng của các tài khoản ngoại bằng > Cam kết trong nghiệp vụ L/C – gộp,Cam kết trong nghiệp vụ L/C – gộp,131.448,93.530,131448.0,93530.0
Bảo lãnh khác – gộp,Mức độ rủi ro tín dụng của các tài khoản ngoại bằng > Bảo lãnh khác – gộp,Bảo lãnh khác – gộp,179.608,175.629,179608.0,175629.0
Cộng,Mức độ rủi ro tín dụng của các tài khoản ngoại bằng > Cộng,Cộng,311.056,269.159,311056.0,269159.0
