row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,32.471,40.285,32471.0,40285.0
"Phải trả cho cán bộ, công nhân viên","Phải trả cho cán bộ, công nhân viên","Phải trả cho cán bộ, công nhân viên",10.713,26.921,10713.0,26921.0
Quỹ khen thưởng và phúc lợi (i),Quỹ khen thưởng và phúc lợi (i),Quỹ khen thưởng và phúc lợi (i),13.367,4.559,13367.0,4559.0
Lãi cổ đông phải trả,Lãi cổ đông phải trả,Lãi cổ đông phải trả,683,683,683.0,683.0
Các khoản phải trả nội bộ khác,Các khoản phải trả nội bộ khác,Các khoản phải trả nội bộ khác,7.708,8.122,7708.0,8122.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,68.941,75.414,68941.0,75414.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.071,984,1071.0,984.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,24.079,36.253,24079.0,36253.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,500,200,500.0,200.0
Phải trả về mua sắm tài sản cố định,Phải trả về mua sắm tài sản cố định,Phải trả về mua sắm tài sản cố định,870,870,870.0,870.0
Các khoản phải trả Nhà nước,Các khoản phải trả Nhà nước,Các khoản phải trả Nhà nước,2.539,2.539,2539.0,2539.0
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,2.039,10.202,2039.0,10202.0
Các khoản phải trả bên ngoài khác,Các khoản phải trả bên ngoài khác,Các khoản phải trả bên ngoài khác,37.843,24.366,37843.0,24366.0
Cộng,Cộng,Cộng,101.412,115.699,101412.0,115699.0
