row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",170.837,-,174.411,-,170837.0,,174411.0,
Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,560.297,-,784.793,-,560297.0,,784793.0,
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,5.739.507,-,4.969.986,(1.350),5739507.0,,4969986.0,-1350.0
Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,6.585,-,668,-,6585.0,,668.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,15.447.550,(116.765),14.556.951,(114.654),15447550.0,-116765.0,14556951.0,-114654.0
Chứng khoán đầu tư giữ đến ngày đáo hạn khác,Chứng khoán đầu tư giữ đến ngày đáo hạn khác,Chứng khoán đầu tư giữ đến ngày đáo hạn khác,752.229,(229.826),1.050.857,(231.229),752229.0,-229826.0,1050857.0,-231229.0
"Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",125.655,(26.931),125.655,(26.308),125655.0,-26931.0,125655.0,-26308.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",193.723,-,206.806,-,193723.0,,206806.0,
Các tài sản có khác,Các tài sản có khác,Các tài sản có khác,67.535,-,29.979,-,67535.0,,29979.0,
Cộng,Cộng,Cộng,23.063.918,(373.522),21.900.106,(373.541),23063918.0,-373522.0,21900106.0,-373541.0
